url,locale,page_type,cluster,tool_slug,current_status,http_status,canonical,robots,indexable,sitemap_present,lastmod,internal_link_count,crawl_depth,phase2b_treatment,phase2b_control,historical_gsc_clicks,historical_gsc_impressions,historical_gsc_avg_position,last_known_crawl,similarity_risk,editorial_leakage,unique_function,unique_search_intent,decision,decision_reason
https://funnytools.win/en/,en,home,general,,200 live verified,200 local build,https://funnytools.win/en/,"index,follow (implicit)",yes,yes,2026-09-10,250,0,no,no,3,97,8.092783505154639,2026-09-11T22:37:47Z,low,none,UNKNOWN,UNKNOWN,PROTECT,"historical clicks=3; impressions=97, position=8.092783505154639"
https://funnytools.win/en/about-tools/,en,legal,general,,200 live verified,200 local build,https://funnytools.win/en/about-tools/,"index,follow (implicit)",yes,yes,2026-06-17,30,1,no,no,0,2,7,2026-08-05T06:36:52Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/about/,en,legal,general,,200 live verified,200 local build,https://funnytools.win/en/about/,"index,follow (implicit)",yes,yes,2026-09-02,29,1,no,no,0,11,2,2026-08-16T17:36:32Z,low,none,UNKNOWN,UNKNOWN,PROTECT,"impressions=11, position=2"
https://funnytools.win/en/category/draw/,en,category,draw,,200 live verified,200 local build,https://funnytools.win/en/category/draw/,"index,follow (implicit)",yes,yes,2026-09-02,45,1,no,no,0,7,19.142857142857142,2026-07-16T15:41:04Z,low,none,UNKNOWN,UNKNOWN,PROTECT,"impressions=7, position=19.142857142857142"
https://funnytools.win/en/category/image/,en,category,image,,200 live verified,200 local build,https://funnytools.win/en/category/image/,"index,follow (implicit)",yes,yes,2026-09-02,59,1,no,no,0,1,7,2026-08-04T17:45:05Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/category/money/,en,category,money,,200 live verified,200 local build,https://funnytools.win/en/category/money/,"index,follow (implicit)",yes,yes,2026-08-01,46,1,no,no,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-17T12:14:53Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/category/pdf/,en,category,pdf,,200 live verified,200 local build,https://funnytools.win/en/category/pdf/,"index,follow (implicit)",yes,yes,2026-09-02,55,1,no,no,0,10,3.7,2026-08-13T14:37:00Z,low,none,UNKNOWN,UNKNOWN,PROTECT,"impressions=10, position=3.7"
https://funnytools.win/en/category/random/,en,category,random,,200 live verified,200 local build,https://funnytools.win/en/category/random/,"index,follow (implicit)",yes,yes,2026-08-01,61,1,no,no,0,1,7,2026-08-20T10:52:31Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/category/statistics/,en,category,statistics,,200 live verified,200 local build,https://funnytools.win/en/category/statistics/,"index,follow (implicit)",yes,yes,2026-08-01,62,1,no,no,0,4,3.75,2026-08-18T04:52:21Z,low,none,UNKNOWN,measured relationship present,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/category/study/,en,category,study,,200 live verified,200 local build,https://funnytools.win/en/category/study/,"index,follow (implicit)",yes,yes,2026-08-01,49,1,no,no,0,1,3,2026-08-17T17:37:21Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/category/text/,en,category,text,,200 live verified,200 local build,https://funnytools.win/en/category/text/,"index,follow (implicit)",yes,yes,2026-09-02,58,1,no,no,0,1,10,2026-07-30T10:00:27Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/category/time/,en,category,time,,200 live verified,200 local build,https://funnytools.win/en/category/time/,"index,follow (implicit)",yes,yes,2026-08-01,53,1,no,no,0,1,7,2026-08-22T01:04:53Z,low,none,UNKNOWN,UNKNOWN,OBSERVE,No destructive decision without row-level evidence.
https://funnytools.win/en/contact/,en,legal,general,,200 live verified,200 local build,https://funnytools.win/en/contact/,"index,follow (implicit)",yes,yes,2026-07-31,29,1,no,no,0,17,3.8823529411764706,2026-07-15T19:24:42Z,low,none,UNKNOWN,UNKNOWN,PROTECT,"impressions=17, position=3.8823529411764706"
https://funnytools.win/en/disclaimer/,en,legal,general,,200 live verified,200 local build,https://funnytools.win/en/disclaimer/,"index,follow (implicit)",yes,yes,2026-06-17,27,1,no,no,0,6,6.333333333333333,2026-08-13T00:47:43Z,low,none,UNKNOWN,UNKNOWN,PROTECT,"impressions=6, position=6.333333333333333"
