url,google_status,google_canonical,user_canonical,canonical_category,coverage_state,tool_slug,functional_signature,similarity_pair_count,max_boilerplate_adjusted_similarity,intent_relationships,inspection_result_link
https://funnytools.win/,Indexed,https://funnytools.win/,https://funnytools.win/,SELF_MATCH,已提交並建立索引,,,3,0.812,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=T1pdpmGF9BeNWiTWekWzjg&utm_medium=link&utm_source=api
https://funnytools.win/about-tools/,Crawled Not Indexed,https://funnytools.win/about-tools/,https://funnytools.win/about-tools/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=u6n29yCSPbGsWXocJr-HlQ&utm_medium=link&utm_source=api
https://funnytools.win/about/,Crawled Not Indexed,https://funnytools.win/about/,https://funnytools.win/about/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=zAwy7XcEuG083mNDH9aQ5A&utm_medium=link&utm_source=api
https://funnytools.win/affiliate-disclosure/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google 無法辨識的網址,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=OfqDDjIn4l1DGovw3ZK-1A&utm_medium=link&utm_source=api
https://funnytools.win/category/draw/,Crawled Not Indexed,https://funnytools.win/category/draw/,https://funnytools.win/category/draw/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=rtifPTTO6cQGj7Dd35BxOA&utm_medium=link&utm_source=api
https://funnytools.win/category/image/,Crawled Not Indexed,https://funnytools.win/category/image/,https://funnytools.win/category/image/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,1,0.61,UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=97iZxE8xoNAlEFAj9UeCSg&utm_medium=link&utm_source=api
https://funnytools.win/category/money/,Crawled Not Indexed,https://funnytools.win/category/money/,https://funnytools.win/category/money/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=jtF7_YpzqERcNb3nF7Lf7Q&utm_medium=link&utm_source=api
https://funnytools.win/category/pdf/,Crawled Not Indexed,https://funnytools.win/category/pdf/,https://funnytools.win/category/pdf/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=mN2DfYeIu63-9pqYO3oMEQ&utm_medium=link&utm_source=api
https://funnytools.win/category/random/,Crawled Not Indexed,https://funnytools.win/category/random/,https://funnytools.win/category/random/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,2,0.567,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vSJi7LjrR0czmF3mU85O3A&utm_medium=link&utm_source=api
https://funnytools.win/category/statistics/,Crawled Not Indexed,https://funnytools.win/category/statistics/,https://funnytools.win/category/statistics/,SELF_MATCH,已檢索 - 目前尚未建立索引,,,6,0.75,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=tbS6tSvaLd0ZpUi-KHUUfQ&utm_medium=link&utm_source=api
