content_cluster,total,google_known,crawled,indexed,crawled_not_indexed,discovered_not_indexed,canonical_problem,blocked_error,unknown,acceptance_rate,median_last_crawl_age_days,mean_last_crawl_age_days
image,73,23,23,0,22,0,0,1,50,0,0,10.136986301369863
pdf,101,29,29,0,29,0,0,0,72,0,0,7.1683168316831685
statistics,100,65,65,0,65,0,0,0,35,0,23,18.52
random,78,34,34,0,34,0,0,0,44,0,0,12.717948717948717
text,79,35,35,0,35,0,0,0,44,0,0,10.89873417721519
time,45,25,25,0,25,0,0,0,20,0,22,16.044444444444444
money,27,20,20,0,20,0,0,0,7,0,23,18.51851851851852
security,3,0,0,0,0,0,0,0,3,0,0,0
drawing,20,2,2,0,2,0,0,0,18,0,0,2.6
draw,25,16,16,0,16,0,0,0,9,0,24,20.28
general,125,39,39,4,35,0,0,0,86,0.032,0,8.272
study,18,10,10,0,10,0,0,0,8,0,22,16.444444444444443
creators,3,3,3,0,3,0,0,0,0,0,24,23.333333333333332
designers,3,2,2,0,2,0,0,0,1,0,23,18.666666666666668
developers,3,2,2,0,2,0,0,0,1,0,23,19
office-workers,3,3,3,0,3,0,0,0,0,0,23,27
students,3,2,2,0,2,0,0,0,1,0,20,14
teachers,3,3,3,0,3,0,0,0,0,0,34,23.333333333333332
