url,locale,page_type,content_cluster,google_status,last_crawl_time,last_crawl_age_days,crawl_recency_bucket,sitemap_lastmod,sitemap_lastmod_age_days,page_fetch_state,inspection_result_link
https://funnytools.win/,zh-TW,home,general,Indexed,2026-09-11T19:00:02Z,1,<7 days,2026-09-10,3,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=T1pdpmGF9BeNWiTWekWzjg&utm_medium=link&utm_source=api
https://funnytools.win/about-tools/,zh-TW,legal,general,Crawled Not Indexed,2026-08-15T04:10:54Z,29,15–30 days,2026-06-17,88,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=u6n29yCSPbGsWXocJr-HlQ&utm_medium=link&utm_source=api
https://funnytools.win/about/,zh-TW,legal,general,Crawled Not Indexed,2026-08-22T21:31:54Z,21,15–30 days,2026-09-02,11,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=zAwy7XcEuG083mNDH9aQ5A&utm_medium=link&utm_source=api
https://funnytools.win/affiliate-disclosure/,zh-TW,legal,general,Unknown,,0,never crawled,2026-09-07,6,PAGE_FETCH_STATE_UNSPECIFIED,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=OfqDDjIn4l1DGovw3ZK-1A&utm_medium=link&utm_source=api
https://funnytools.win/category/draw/,zh-TW,category,draw,Crawled Not Indexed,2026-09-02T05:21:43Z,11,7–14 days,2026-09-02,11,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=rtifPTTO6cQGj7Dd35BxOA&utm_medium=link&utm_source=api
https://funnytools.win/category/image/,zh-TW,category,image,Crawled Not Indexed,2026-08-03T16:39:23Z,40,>30 days,2026-09-03,10,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=97iZxE8xoNAlEFAj9UeCSg&utm_medium=link&utm_source=api
https://funnytools.win/category/money/,zh-TW,category,money,Crawled Not Indexed,2026-08-19T18:24:07Z,24,15–30 days,2026-08-01,43,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=jtF7_YpzqERcNb3nF7Lf7Q&utm_medium=link&utm_source=api
https://funnytools.win/category/pdf/,zh-TW,category,pdf,Crawled Not Indexed,2026-08-16T02:42:51Z,28,15–30 days,2026-09-02,11,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=mN2DfYeIu63-9pqYO3oMEQ&utm_medium=link&utm_source=api
https://funnytools.win/category/random/,zh-TW,category,random,Crawled Not Indexed,2026-08-01T03:39:40Z,43,>30 days,2026-08-01,43,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vSJi7LjrR0czmF3mU85O3A&utm_medium=link&utm_source=api
https://funnytools.win/category/statistics/,zh-TW,category,statistics,Crawled Not Indexed,2026-08-23T04:04:58Z,21,15–30 days,2026-09-03,10,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=tbS6tSvaLd0ZpUi-KHUUfQ&utm_medium=link&utm_source=api
https://funnytools.win/category/study/,zh-TW,category,study,Crawled Not Indexed,2026-08-01T07:29:05Z,43,>30 days,2026-09-03,10,SUCCESSFUL,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=_j4dVyi1W0T7NNaSua6toA&utm_medium=link&utm_source=api
