candidate_status,url,matched_treatment_url,locale,page_type,content_cluster,tool_slug,google_status,coverage_state,page_fetch_state,robots_txt_state,indexing_state,canonical_category,last_crawl_time,last_crawl_age_days,internal_link_count,crawl_depth,value_score,opportunity_score,search_28_clicks,search_28_impressions,search_28_position,functional_signature,max_boilerplate_adjusted_similarity,reason,action
PROPOSAL_ONLY,https://funnytools.win/en/tools/pie-chart-maker/,https://funnytools.win/en/tools/cad-2d/,en,tool,draw,pie-chart-maker,Crawled Not Indexed,Crawled - currently not indexed,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-22T02:36:59Z,22,43,1,,93,,,,create|pie-chart|pie-chart|created-artifact|pie-chart|general,,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,https://funnytools.win/es/herramientas/tirar-dados-online/,es,tool,random,this-or-that,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-10T15:40:43Z,33,163,1,,150,,,,use|this-or-that|this-or-that|tool-result|this-or-that|general,0.802,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/editor-markdown-online/,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,es,tool,text,markdown-previewer,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-19T16:20:40Z,24,163,1,,150,,,,preview|markdown-previewer|markdown-previewer|preview|markdown-previewer|general,,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/ordenar-paginas-pdf/,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,es,tool,pdf,pdf-page-reorder,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-09T04:10:06Z,35,163,1,,150,,,,reorder|pdf|pdf|reordered-document|pdf-page-editing|general,0.818,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/recordatorio-descansos/,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,es,tool,time,break-reminder,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-04T05:44:47Z,40,163,1,,150,,,,use|break-reminder|break-reminder|tool-result|break-reminder|general,0.866,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/unir-pdf/,https://funnytools.win/es/herramientas/calculadora-hipoteca/,es,tool,pdf,merge-pdf,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-22T03:31:46Z,22,163,1,,150,,,,merge|pdf-files|pdf|combined-document|pdf-document-assembly|general,0.847,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/generador-numeros-aleatorios/,https://funnytools.win/es/herramientas/calculadora-inflacion/,es,tool,random,random-number-picker,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-19T19:04:56Z,24,163,1,,150,,,,select|random-number-picker|random-number-picker|selected-result|random-number-picker|general,,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,es,tool,pdf,split-pdf,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-16T15:31:25Z,27,163,1,,150,,,,split|pdf|pdf-files|separate-documents|pdf-document-assembly|general,0.836,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/eliminar-lineas-vacias/,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,es,tool,text,remove-empty-lines,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-09-02T04:44:11Z,11,163,1,,150,,,,remove|remove-empty-lines|remove-empty-lines|cleaned-output|remove-empty-lines|general,,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/ruleta-aleatoria/,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,es,tool,random,random-wheel,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-05T07:01:53Z,39,163,1,,150,,,,select|random-wheel|random-wheel|selected-result|random-wheel|general,0.804,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/sorteo-nombres-aleatorio/,https://funnytools.win/es/herramientas/calculadora-percentil-ranking-clase/,es,tool,random,random-name-picker,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-03T06:54:07Z,41,163,1,,150,,,,select|random-name-picker|random-name-picker|selected-result|random-name-picker|general,0.816,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,https://funnytools.win/es/herramientas/calculadora-porcentajes/,es,tool,pdf,extract-pdf-pages,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-07-30T17:20:19Z,44,163,1,,150,,,,extract|pdf|pdf|new-document-from-selected-pages|pdf-page-editing|general,0.871,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/pizarra-dibujo-online/,https://funnytools.win/es/herramientas/calculadora-promedio-notas/,es,tool,draw,sketchpad,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-07-31T00:35:44Z,44,164,1,,150,,,,create|sketchpad|sketchpad|created-artifact|sketchpad|general,,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/tools/percentage-calculator/,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,zh-TW,tool,statistics,percentage-calculator,Crawled Not Indexed,已檢索 - 目前尚未建立索引,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-05T23:14:21Z,38,52,1,,102,,,,calculate|percentage|percentage|calculated-result|percentage|general,0.697,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/tools/grade-average/,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,zh-TW,tool,statistics,grade-average,Crawled Not Indexed,已檢索 - 目前尚未建立索引,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-09-04T14:49:37Z,8,53,1,,103,,,,calculate|grades|average-grade|grade-average|grade-calculation|general,0.81,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/tools/weighted-average-calculator/,https://funnytools.win/es/herramientas/calculadora-t-muestras-independientes/,zh-TW,tool,statistics,weighted-average-calculator,Crawled Not Indexed,已檢索 - 目前尚未建立索引,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-21T12:46:52Z,22,53,1,,103,,,,calculate|values-and-weights|weighted-result|weighted-average|weighted-calculation|general,0.823,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/tools/business-days/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,zh-TW,tool,time,business-days,Crawled Not Indexed,已檢索 - 目前尚未建立索引,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-20T15:12:32Z,23,52,1,,102,,,,use|business-days|business-days|tool-result|business-days|general,0.823,Matched untreated comparison URL under same page type/locale/cluster with similar crawl age and internal-link level.,NOT_EXECUTED
