candidate_status,url,matched_treatment_url,locale,page_type,content_cluster,tool_slug,google_status,coverage_state,page_fetch_state,robots_txt_state,indexing_state,canonical_category,last_crawl_time,last_crawl_age_days,internal_link_count,crawl_depth,value_score,opportunity_score,search_28_clicks,search_28_impressions,search_28_position,functional_signature,max_boilerplate_adjusted_similarity,reason,action
PROPOSAL_ONLY,https://funnytools.win/en/tools/cad-2d/,,en,tool,draw,cad-2d,Crawled Not Indexed,Crawled - currently not indexed,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-23T05:32:30Z,21,44,1,,153,0,59,71.35593220338983,use|cad-2d|cad-2d|tool-result|cad-2d|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/tirar-dados-online/,,es,tool,random,dice-roller,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-09T04:31:05Z,35,163,1,,151,0,1,62,generate|dice-roller|dice-roller|generated-result|dice-roller|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,,es,tool,statistics,cronbach-alpha-calculator,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-19T00:59:18Z,25,161,1,,150,,,,calculate|cronbach-alpha|cronbach-alpha|calculated-result|cronbach-alpha|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,,es,tool,statistics,standard-deviation,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-08T13:19:57Z,35,163,1,,150,,,,calculate|raw-scores|summary-statistics|mean-variance-standard-deviation|descriptive-statistics|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,,es,tool,time,business-days,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-19T18:06:28Z,24,163,1,,150,,,,use|business-days|business-days|tool-result|business-days|general,0.825,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-hipoteca/,,es,tool,money,mortgage-payment,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-23T01:14:06Z,21,163,1,,150,,,,use|mortgage-payment|mortgage-payment|tool-result|mortgage-payment|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-inflacion/,,es,tool,money,inflation,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-20T17:34:39Z,23,163,1,,150,,,,use|inflation|inflation|tool-result|inflation|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,,es,tool,money,compound-interest,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-16T16:17:51Z,27,163,1,,150,,,,use|compound-interest|compound-interest|tool-result|compound-interest|general,0.834,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,,es,tool,statistics,weighted-average-calculator,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-24T23:49:35Z,19,163,1,,150,,,,calculate|values-and-weights|weighted-result|weighted-average|weighted-calculation|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,,es,tool,statistics,teacher-exam-score-converter,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-09T03:39:10Z,35,161,1,,150,,,,calculate|teacher-exam-score-converter|teacher-exam-score-converter|calculated-result|teacher-exam-score-converter|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
PROPOSAL_ONLY,https://funnytools.win/es/herramientas/calculadora-percentil-ranking-clase/,,es,tool,statistics,class-rank-percentile-calculator,Crawled Not Indexed,Rastreada: actualmente sin indexar,SUCCESSFUL,ALLOWED,INDEXING_ALLOWED,SELF_MATCH,2026-08-20T17:47:22Z,23,161,1,,150,,,,calculate|class-rank-percentile|class-rank-percentile|calculated-result|class-rank-percentile|general,,Google crawled-not-indexed; current fetch successful; index allowed; self canonical; production status 200; page-type/internal-link/search-support evidence available; proposal only.,NOT_EXECUTED
