tier_rank,selection_reason,url,locale,page_type,content_cluster,tool_slug,google_status,google_known,google_crawled,google_indexed,coverage_state,last_crawl_time,last_crawl_age_days,google_canonical,user_canonical,canonical_category,internal_link_count,crawl_depth,value_score,opportunity_score,search_28_clicks,search_28_impressions,search_28_position,inspection_result_link
1,required homepage/tools hub/important category,https://funnytools.win/,zh-TW,home,general,,Indexed,yes,yes,yes,已提交並建立索引,2026-09-11T19:00:02Z,1,https://funnytools.win/,https://funnytools.win/,SELF_MATCH,271,0,,173,33,59,10.033898305084746,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=T1pdpmGF9BeNWiTWekWzjg&utm_medium=link&utm_source=api
2,required homepage/tools hub/important category,https://funnytools.win/tools/,zh-TW,hub,general,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-08T05:55:55Z,36,https://funnytools.win/tools/,https://funnytools.win/tools/,SELF_MATCH,132,1,,136,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=iGZuuVzD3ib32v6joxEReA&utm_medium=link&utm_source=api
3,required homepage/tools hub/important category,https://funnytools.win/category/statistics/,zh-TW,category,statistics,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-23T04:04:58Z,21,https://funnytools.win/category/statistics/,https://funnytools.win/category/statistics/,SELF_MATCH,63,1,,97,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=tbS6tSvaLd0ZpUi-KHUUfQ&utm_medium=link&utm_source=api
4,required homepage/tools hub/important category,https://funnytools.win/category/image/,zh-TW,category,image,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-03T16:39:23Z,40,https://funnytools.win/category/image/,https://funnytools.win/category/image/,SELF_MATCH,60,1,,94,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=97iZxE8xoNAlEFAj9UeCSg&utm_medium=link&utm_source=api
5,required homepage/tools hub/important category,https://funnytools.win/category/pdf/,zh-TW,category,pdf,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-16T02:42:51Z,28,https://funnytools.win/category/pdf/,https://funnytools.win/category/pdf/,SELF_MATCH,55,1,,90,0,1,1,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=mN2DfYeIu63-9pqYO3oMEQ&utm_medium=link&utm_source=api
6,required homepage/tools hub/important category,https://funnytools.win/category/random/,zh-TW,category,random,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-01T03:39:40Z,43,https://funnytools.win/category/random/,https://funnytools.win/category/random/,SELF_MATCH,61,1,,95,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vSJi7LjrR0czmF3mU85O3A&utm_medium=link&utm_source=api
7,required homepage/tools hub/important category,https://funnytools.win/category/text/,zh-TW,category,text,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-14T04:41:13Z,30,https://funnytools.win/category/text/,https://funnytools.win/category/text/,SELF_MATCH,73,1,,107,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=dn5Q_sx1jCase0iCCOPIhA&utm_medium=link&utm_source=api
8,required homepage/tools hub/important category,https://funnytools.win/category/time/,zh-TW,category,time,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-10T02:23:26Z,34,https://funnytools.win/category/time/,https://funnytools.win/category/time/,SELF_MATCH,53,1,,87,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=n5rVfS8IVbwwH89oj0Ugnw&utm_medium=link&utm_source=api
9,required homepage/tools hub/important category,https://funnytools.win/category/money/,zh-TW,category,money,,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-19T18:24:07Z,24,https://funnytools.win/category/money/,https://funnytools.win/category/money/,SELF_MATCH,46,1,,80,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=jtF7_YpzqERcNb3nF7Lf7Q&utm_medium=link&utm_source=api
10,high functional/value/internal-link/search-support score,https://funnytools.win/en/tools/cad-2d/,en,tool,draw,cad-2d,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,2026-08-23T05:32:30Z,21,https://funnytools.win/en/tools/cad-2d/,https://funnytools.win/en/tools/cad-2d/,SELF_MATCH,44,1,,153,0,59,71.35593220338983,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Vz1nV-GI5eFmTcKVZuMKsA&utm_medium=link&utm_source=api
