url,tool_slug,locale,content_cluster,functional_signature,google_status,google_known,google_crawled,google_indexed,coverage_state,last_crawl_time,google_canonical,user_canonical,canonical_category,internal_link_count,crawl_depth,value_score,search_28_clicks,search_28_impressions,search_28_position,referring_url_count,sitemap_count,inspection_result_link
https://funnytools.win/tools/age-calculator/,age-calculator,zh-TW,time,calculate|age|age|calculated-result|age|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-04T08:59:48Z,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/age-calculator/,SELF_MATCH,48,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=uyKz7KEqEANiYAs0B98CPA&utm_medium=link&utm_source=api
https://funnytools.win/tools/apa-7-report-generator/,apa-7-report-generator,zh-TW,statistics,generate|apa-7-report|apa-7-report|generated-result|apa-7-report|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-05T07:58:07Z,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/apa-7-report-generator/,SELF_MATCH,51,1,,,,,1,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=XD3GDhxbf4JQH0HzV7eAzw&utm_medium=link&utm_source=api
https://funnytools.win/tools/bar-chart-maker/,bar-chart-maker,zh-TW,draw,create|bar-chart|bar-chart|created-artifact|bar-chart|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-13T18:43:24Z,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/bar-chart-maker/,SELF_MATCH,51,1,,0,1,93,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=MOyetCt1lUcLc5GJtPULrw&utm_medium=link&utm_source=api
https://funnytools.win/tools/barcode-generator/,barcode-generator,zh-TW,image,generate|barcode|barcode|generated-result|barcode|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,53,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Fe08BqJ3lH5j039E_42hMw&utm_medium=link&utm_source=api
https://funnytools.win/tools/base64/,base64,zh-TW,text,use|base64|base64|tool-result|base64|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-21T15:50:49Z,https://funnytools.win/tools/base64/,https://funnytools.win/tools/base64/,SELF_MATCH,49,1,,0,1,100,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=yexXyvL5trssHkFtNm4UNw&utm_medium=link&utm_source=api
https://funnytools.win/tools/break-reminder/,break-reminder,zh-TW,time,use|break-reminder|break-reminder|tool-result|break-reminder|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-18T01:16:28Z,https://funnytools.win/tools/break-reminder/,https://funnytools.win/tools/break-reminder/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=iT75hjqBLYNuyKV-_coKgw&utm_medium=link&utm_source=api
https://funnytools.win/tools/bulk-image-compressor/,bulk-image-compressor,zh-TW,image,compress|bulk-image-compressor|bulk-image-compressor|smaller-file|bulk-image-compressor|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,44,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=IeyeY_GG3eLERjjovHV-ow&utm_medium=link&utm_source=api
https://funnytools.win/tools/business-days/,business-days,zh-TW,time,use|business-days|business-days|tool-result|business-days|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-20T15:12:32Z,https://funnytools.win/tools/business-days/,https://funnytools.win/tools/business-days/,SELF_MATCH,52,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=UW0tKoGgHLty7xhwTSiMUQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/cad-2d/,cad-2d,zh-TW,draw,use|cad-2d|cad-2d|tool-result|cad-2d|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-10T02:39:59Z,https://funnytools.win/tools/cad-2d/,https://funnytools.win/tools/cad-2d/,SELF_MATCH,50,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ieW-0ilXVuE7QiD0IMMdKg&utm_medium=link&utm_source=api
https://funnytools.win/tools/case-converter/,case-converter,zh-TW,text,use|case-converter|case-converter|tool-result|case-converter|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-21T06:05:47Z,https://funnytools.win/tools/case-converter/,https://funnytools.win/tools/case-converter/,SELF_MATCH,53,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=U5pUPykia1ec5UutYfjXxw&utm_medium=link&utm_source=api
https://funnytools.win/tools/character-counter/,character-counter,zh-TW,text,count|character-counter|character-counter|count|character-counter|general,Unknown,no,unknown,unknown,Google 無法辨識的網址,,,,GOOGLE_CANONICAL_ABSENT,53,1,,,,,0,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=8TC-grlZWaVtz0Z4U_cceQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/class-rank-percentile-calculator/,class-rank-percentile-calculator,zh-TW,statistics,calculate|class-rank-percentile|class-rank-percentile|calculated-result|class-rank-percentile|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-19T01:54:04Z,https://funnytools.win/tools/class-rank-percentile-calculator/,https://funnytools.win/tools/class-rank-percentile-calculator/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=RUYOaa1S0ZKkWXCv80Ahew&utm_medium=link&utm_source=api
https://funnytools.win/tools/color-generator/,color-generator,zh-TW,random,generate|color|color|generated-result|color|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-13T14:37:00Z,https://funnytools.win/tools/color-generator/,https://funnytools.win/tools/color-generator/,SELF_MATCH,48,1,,,,,2,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=MAIjnXopP67QwCjps2CYyA&utm_medium=link&utm_source=api
https://funnytools.win/tools/compound-interest/,compound-interest,zh-TW,money,use|compound-interest|compound-interest|tool-result|compound-interest|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-30T04:34:55Z,https://funnytools.win/tools/compound-interest/,https://funnytools.win/tools/compound-interest/,SELF_MATCH,47,1,,,,,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=hnSYD1dGWfLQZrFT0QFAYQ&utm_medium=link&utm_source=api
https://funnytools.win/tools/countdown-timer/,countdown-timer,zh-TW,time,use|countdown-timer|countdown-timer|tool-result|countdown-timer|general,Crawled Not Indexed,yes,yes,no,已檢索 - 目前尚未建立索引,2026-08-14T02:47:43Z,https://funnytools.win/tools/countdown-timer/,https://funnytools.win/tools/countdown-timer/,SELF_MATCH,53,1,,0,1,86,3,0,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=dtf2QXcumOOQGykff8oDWw&utm_medium=link&utm_source=api
