pair_id,treatment_url,control_url,locale,cluster,treatment_main_content_hash_before,treatment_main_content_hash_after,treatment_unique_content_hash_before,treatment_unique_content_hash_after,treatment_changed,control_main_content_hash_before,control_main_content_hash_after,control_unique_content_hash_before,control_unique_content_hash_after,control_changed,treatment_added_content_fingerprint,treatment_word_count_before,treatment_word_count_after,control_word_count_before,control_word_count_after,changed_files
P2B-01,https://funnytools.win/en/tools/cad-2d/,https://funnytools.win/en/tools/flowchart/,en,draw,7f28cd6dacd5e36d98eb7da8a55b092f02af4b595ee48bb462f463b7fa8e1b60,cc15caf0d65342fcd83437dc775b42ad864d650c64066f8ac5391fd37e8379b2,55f3d233425cb7b74b5b964d1f9b8b546e3f45a79b2f42d96d556c6a33895bc7,93ee2ad25fbf8450f0cc739e44befb374bf31b8de2acff720bdfeda20e1cba75,yes,172844c2e2235057cc9329c0b16d13f297a9a249cda9aefdf8b943c25049d853,172844c2e2235057cc9329c0b16d13f297a9a249cda9aefdf8b943c25049d853,a4e447d2ba23bb350fe82907d8d026ccc90e97241d255047b1e24fb66e31173e,a4e447d2ba23bb350fe82907d8d026ccc90e97241d255047b1e24fb66e31173e,no,ee746df973860264d45a9b06404064e2223728384000165ee83dd031582f320c,1236,1480,1033,1033,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-02,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/normalized-score-converter/,en,statistics,76941d9f9302eb4872e0f11c1013d0d5c2e3e16b190d2a5d8f7ddbd5fcdb85db,92308f292fa0f2c143b9d7fcc715a5b245aeee99378be8862fd5b8c4d8d8f8e1,a1ba4d21c1715da4dbe5e53d5203ccd1e1095409eaeaded78138581980b94812,902045ad7ff976343373e1e9e8c8aa2c272e5be06d80cd0b1aaa47c6d64f8bf6,yes,98653fad8481403b7515ada7c6b4ef038fd78292ffe9fe23df05cdd932cf9777,98653fad8481403b7515ada7c6b4ef038fd78292ffe9fe23df05cdd932cf9777,a9c8bde0529d0d498f2cc62cf78a6436950751ee5317ff703930601c2b7501a1,a9c8bde0529d0d498f2cc62cf78a6436950751ee5317ff703930601c2b7501a1,no,fb1320897dc633b0752fd57aababb30db4b01c805a6002e9290d7e8c811ea67f,1086,1312,974,974,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-03,https://funnytools.win/en/tools/compound-interest/,https://funnytools.win/en/tools/net-salary/,en,money,d10d103c9c5eba728615718a18b33d160a5e0970d63972db77f592c90d3fae7e,c4ae18c62f901b76b7d2afb1d193d08c312aa4f521d3a837371966f301b8f84a,acf6e994b45e88067417ee2d5332352cb5dd4f80837165fd71b03dc04c7fe5bc,9dddb5fe6fee02dfd3c60338153aa1b6d775bfbb96d1dcc1cdb73e47d1f92161,yes,e160899d33d60b2e98861117cd4619e3c70955e6bdcfb3ac646f81c89974b79c,e160899d33d60b2e98861117cd4619e3c70955e6bdcfb3ac646f81c89974b79c,0378288c49f5152a2e6da410be406073c6ee42d06a236e02a6791be1b37f8bdf,0378288c49f5152a2e6da410be406073c6ee42d06a236e02a6791be1b37f8bdf,no,3892969985c49ecace9029406fe18ad03c44d6ddf70738d6d5ca57507ebe82b9,990,1202,1129,1129,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-04,https://funnytools.win/en/tools/cronbach-alpha-calculator/,https://funnytools.win/en/tools/grade-average/,en,statistics,581bc724fe6a34c5bd2438f9140c9b0bc48ab8eea4179fecdfa271b1e1dda961,906ae3e5e1be56132ff98e04b6b6de4e51a6f0a13cce411888a6572d946fb5a7,93cf90c72721e0164214c875f068a0dfbeab51323b81d3a69dc69bdf42bd232a,bb89e49007023a5b5bf0d53493b7424af807e661dfb8af34f3353cd03b4b9dc5,yes,6541db9b26af797c342e80fb5efd04e6c0d4cc3f54bd98b32db0b01eacddddbe,6541db9b26af797c342e80fb5efd04e6c0d4cc3f54bd98b32db0b01eacddddbe,23884e09c04a6ac4e85b8be84775c67f7797c1d6da874ec497825a7acd90bb99,23884e09c04a6ac4e85b8be84775c67f7797c1d6da874ec497825a7acd90bb99,no,00d5bd4fd9dc3f6236721850e767e59b0ae76282f453b48782e6fbfb70dddf7f,901,1106,1145,1145,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-05,https://funnytools.win/en/tools/percentage-calculator/,https://funnytools.win/en/tools/percentile-rank-calculator/,en,statistics,1edfcdc0b7e47069280330e39d19d6e5f60cbb61330b6aa6260647ae93fcfb71,a83f619110b9959b1eebb509210bfc8804e351337c2eb9150eb70ec43dc45dac,20f1d12c473541c8d5d08abf50341d6432798708ab592e785c76284990d828e7,e848677a79b9b0a074323fce559e2f4ef589cdc357fe5fedadce2edcd20e4859,yes,cb54984dd71e09e07030da7a109d96ca2002c38b8ce3ff6d805ec7c0a7ed0ace,cb54984dd71e09e07030da7a109d96ca2002c38b8ce3ff6d805ec7c0a7ed0ace,b8c5afec40ad70acd07bbfdb8a0234be4606e1e7feeda52561c7297db329288c,b8c5afec40ad70acd07bbfdb8a0234be4606e1e7feeda52561c7297db329288c,no,a2aea274346fc7779472f150be58acc37aeb12a37356a157e038f5e9778fc164,945,1165,1040,1040,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-06,https://funnytools.win/es/herramientas/tirar-dados-online/,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,es,random,1b9be89a43bc68cc609e0cf2538458703a359c2cf7656033a2fce05aa0e6c41a,8520b2e31cd616dd3978faf99b48fefd674afca6b777fb4c442f0168642b7e05,7f5f12dddaf9c2631143b9882e3834987dc8e19d473180929b5beb47c21175a1,4d0d1150916fd3ce8acf30c8ee46f12d3a7855950b7c760ed3a265d4898354e3,yes,70eb28155b1b52336f962edea5a90af64a0e26189c78dadad50b20843d188fc9,70eb28155b1b52336f962edea5a90af64a0e26189c78dadad50b20843d188fc9,a335159137363ca560593778cc6b44f6fc414a1eaeedc5c2e96721d784644ab1,a335159137363ca560593778cc6b44f6fc414a1eaeedc5c2e96721d784644ab1,no,d08d10b90e1fbc3ecf61ced5e976bed2bf9aca426023ec10c99627b50fb70e0d,1989,2199,1853,1853,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-07,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,es,statistics,421473f896503da0c40485f9baac341fd295c24894b86edde70b36401385256d,af8d28a711969ce9d4b7846fa1f43033e9b247e79c4114d54eef2385858103b7,8a5e28b4513d217ce016818b9821abc92a2ab70430643562ef86e5828b929401,8ffb94c7193991e2b28855420451a222d24fc83885b58e6a9502c80ce86b6928,yes,1074174482ab58c2b9d47cfd9798fbf843d2b57b5f208da1284a5f091091a78e,1074174482ab58c2b9d47cfd9798fbf843d2b57b5f208da1284a5f091091a78e,79c61e832b6d5f87f6e6f839e59decb4c503a429ccfc8533cdc0334c0d8d387f,79c61e832b6d5f87f6e6f839e59decb4c503a429ccfc8533cdc0334c0d8d387f,no,5333dee36d7ab9f31bd2691a10dad419473256628c076b39b9cfc3458447e9d2,1886,2089,1872,1872,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-08,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,es,statistics,c1c29d1ffe4a29f7d3c1d1c777da054482dda023727a14de9b23c105d1558213,84c5c88c781fb165bf0764922c44c8df7d3cb225e815fc239fe29299cc052791,5d008eccc25a507208d39b94685ee8a9747a7a13afb6bcd740c27ca1ac988cef,35b53536f513d73401127261457ada362aef5a65e0a312308c032765088cc84f,yes,770dc3a9e9de92217023a796a720e3c61ed315a7297b436237e10c61b63ef9f6,770dc3a9e9de92217023a796a720e3c61ed315a7297b436237e10c61b63ef9f6,331c007477b432e08f8f9f8f407941a335051ddb1d7da771590385095a6fa99b,331c007477b432e08f8f9f8f407941a335051ddb1d7da771590385095a6fa99b,no,065cbea2073559c04b17131e123a4b7228c1dba8a318c48823bca660027ac382,1702,1900,1561,1561,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-09,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,es,time,cf681fa32a51363a941b361d7fb8284a3f6748783041a4f092b1a74a0c583a86,79f39f357622b6507056dcafd52efd2ef0668e3c81c94e2c35d2980bb594b1ac,211f081a42fc2404bd520c82ba27b5f70eb9164042d45cdb3885c1ca54ceb5ae,8bd70c4ca58a51ba6f48e8dfdf3716ec7c1b23ae95dc940f2e38fca37e82abb0,yes,be262b2adcfdd5d8197ce8228c7ba143b199390934800fee4c2a75ca088c6117,be262b2adcfdd5d8197ce8228c7ba143b199390934800fee4c2a75ca088c6117,370201a5c795425a3a525dae0a62b80d163c3a6bf95a792c8d9bb842f07a3576,370201a5c795425a3a525dae0a62b80d163c3a6bf95a792c8d9bb842f07a3576,no,754d493f3bddd36ebcdc8d5c1ba4ab7413a0c925fb25d5b19588cc4503fb14b8,2046,2252,2153,2153,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
P2B-10,https://funnytools.win/es/herramientas/calculadora-hipoteca/,https://funnytools.win/es/herramientas/calculadora-inflacion/,es,money,aaf3c1531db191ed321895816ab2a5ce65b4852552f64751ce60c08e33ed57ca,387a801783540db68f40ae384e6e563c31c5acd3000fa312905e8430d7bd27cb,a784fdbc6fd8ea82511d7c766f2f94368ea1edfd384308ef662239656e669db5,d85a58f7c31dce6e87ba0e27bb32396eb6f69367d89ea09d16deed2af006d040,yes,32c1e17da570fec080608e808174710fd550a6cd374c297dac22e11e56bdbe95,32c1e17da570fec080608e808174710fd550a6cd374c297dac22e11e56bdbe95,6bce658befede6635a4a0c1ca81d458494271731f062e723bf1b3eae37c8c56a,6bce658befede6635a4a0c1ca81d458494271731f062e723bf1b3eae37c8c56a,no,793a6f012e78f8c85032e14da2bdb002a0665118f7564f460a3fdf299f2fea52,2406,2609,1915,1915,scoped Phase2B treatment content map; shared resolver/layout branch guarded by rendered control hashes
