snapshot_stage,snapshot_label,snapshot_at,pair_id,cohort,locale,cluster,url,google_status,google_known,google_crawled,google_indexed,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,inspection_result_link,google_canonical,user_canonical,canonical_category,rendered_path,main_content_hash,main_unique_content_hash,word_count,token_count,title,h1,description,sitemap_lastmod,internal_link_count,crawl_depth,main_content_excerpt,gsc_inspected_at
before,before,2026-09-13T09:47:40.554Z,P2B-01,control,en,draw,https://funnytools.win/en/tools/flowchart/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T18:52:21Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=aKpqKatof3NUkZ9aNmeGNg&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/flowchart/,https://funnytools.win/en/tools/flowchart/,SELF_MATCH,dist/en/tools/flowchart/index.html,172844c2e2235057cc9329c0b16d13f297a9a249cda9aefdf8b943c25049d853,a4e447d2ba23bb350fe82907d8d026ccc90e97241d255047b1e24fb66e31173e,1033,5112,Flowchart Maker｜Online Diagram with PNG Export - FunnyTools,Flowchart Maker,"Create simple flowcharts online with… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Select/Move Connect Edit text Add process Add decision Delete selected Clear all Export PNG Nothing selected Optional product discovery You may also like FunnyTools keeps,2026-09-13T08:19:02.509Z
before,before,2026-09-13T09:47:40.559Z,P2B-02,control,en,statistics,https://funnytools.win/en/tools/normalized-score-converter/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-16T14:05:36Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=R-Ldy73nABRl_8GixWG4nw&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/normalized-score-converter/,https://funnytools.win/en/tools/normalized-score-converter/,SELF_MATCH,dist/en/tools/normalized-score-converter/index.html,98653fad8481403b7515ada7c6b4ef038fd78292ffe9fe23df05cdd932cf9777,a9c8bde0529d0d498f2cc62cf78a6436950751ee5317ff703930601c2b7501a1,974,4934,Normalized Score Converter｜Standard Score Tool - FunnyTools,Normalized Score Converter,"Convert a raw score to a target mean and… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,41,1,Tool area Raw score (X) Original mean (M) Original SD Target mean Target SD Convert score Optional product discovery You may also like FunnyTools keeps its tools free to use. If yo,2026-09-13T08:19:52.190Z
before,before,2026-09-13T09:47:40.562Z,P2B-03,control,en,money,https://funnytools.win/en/tools/net-salary/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T07:34:16Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=zffpwvLdZxSrcCjnss0mBQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/net-salary/,https://funnytools.win/en/tools/net-salary/,SELF_MATCH,dist/en/tools/net-salary/index.html,e160899d33d60b2e98861117cd4619e3c70955e6bdcfb3ac646f81c89974b79c,0378288c49f5152a2e6da410be406073c6ee42d06a236e02a6791be1b37f8bdf,1129,6158,Net Salary Calculator｜Take-Home Pay Estimate - FunnyTools,Net Salary,"Estimate monthly take-home pay with user-ed… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Monthly salary Fixed allowance Other fixed deduction Labor insurance rate (%) Health insurance rate (%) Voluntary pension (self-paid) rate (%) Withholding tax rate (%) Ca,2026-09-13T08:19:51.537Z
before,before,2026-09-13T09:47:40.566Z,P2B-04,control,en,statistics,https://funnytools.win/en/tools/grade-average/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-04T18:35:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=kn5h7Uqudl74Q7X8e-k2Yg&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/grade-average/,https://funnytools.win/en/tools/grade-average/,SELF_MATCH,dist/en/tools/grade-average/index.html,6541db9b26af797c342e80fb5efd04e6c0d4cc3f54bd98b32db0b01eacddddbe,23884e09c04a6ac4e85b8be84775c67f7797c1d6da874ec497825a7acd90bb99,1145,5950,Grade Average Calculator｜Simple &amp; Weighted Grades - FunnyTools,Grade Average Calculator,"Calculate your average grade from scores… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-10,43,1,Tool area Add row Copy result Export CSV Valid items 0 Sum 0.00 Simple average -- Weighted average -- Enter at least one valid score. Copied! Plan the remaining grade Average on co,2026-09-13T08:19:09.012Z
before,before,2026-09-13T09:47:40.570Z,P2B-05,control,en,statistics,https://funnytools.win/en/tools/percentile-rank-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-09T16:58:09Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=CGfvG2D97UNFkfw_v2CbpQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/percentile-rank-calculator/,https://funnytools.win/en/tools/percentile-rank-calculator/,SELF_MATCH,dist/en/tools/percentile-rank-calculator/index.html,cb54984dd71e09e07030da7a109d96ca2002c38b8ce3ff6d805ec7c0a7ed0ace,b8c5afec40ad70acd07bbfdb8a0234be4606e1e7feeda52561c7297db329288c,1040,5399,Percentile Rank Calc｜Formula &amp; Education Guide - FunnyTools,Percentile Rank Calculator,"Calculate percentile rank using counts… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,44,1,Tool area Number below (B) Number tied (E) Total group size (N) Calculate PR Optional product discovery You may also like FunnyTools keeps its tools free to use. If you are already,2026-09-13T08:20:13.978Z
before,before,2026-09-13T09:47:40.574Z,P2B-06,control,es,random,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-10T15:40:43Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vESwRADFqgaRfxFRmupFmQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,SELF_MATCH,dist/es/herramientas/decidir-entre-dos-opciones/index.html,70eb28155b1b52336f962edea5a90af64a0e26189c78dadad50b20843d188fc9,a335159137363ca560593778cc6b44f6fc414a1eaeedc5c2e96721d784644ab1,1853,10100,Decidir entre dos opciones | Selector 50/50 - FunnyTools,Decidir entre dos opciones,Escribe dos alternativas y obtén una elección aleatoria 50/50. Selector A o B en el navegador para desempates cotidianos de bajo riesgo.,2026-07-29,163,1,Usar la herramienta Opción A Opción B Decidir Copiar resultado Restablecer Opción elegida Escribe dos opciones para empezar Resultado copiado Qué puedes hacer aquí Aceptar dos text,2026-09-13T08:25:57.814Z
before,before,2026-09-13T09:47:40.577Z,P2B-07,control,es,statistics,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-24T23:49:35Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=DgG1IpsjLDbTJuRMvFabMQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,SELF_MATCH,dist/es/herramientas/calculadora-media-ponderada/index.html,1074174482ab58c2b9d47cfd9798fbf843d2b57b5f208da1284a5f091091a78e,79c61e832b6d5f87f6e6f839e59decb4c503a429ccfc8533cdc0334c0d8d387f,1872,9794,Calculadora de media ponderada | Notas y créditos - FunnyTools,Calculadora de media ponderada,"Calcula la media ponderada con valores y pesos. Sirve para notas, porcentajes o créditos; valida filas, suma de pesos y fórmula paso a paso.",2026-07-30,163,1,"Usar la herramienta Añadir fila Calcular media ponderada Qué puedes hacer aquí Combinar dos o más valores con pesos positivos. Aceptar pesos expresados como porcentajes, créditos,",2026-09-13T08:24:26.016Z
before,before,2026-09-13T09:47:40.581Z,P2B-08,control,es,statistics,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-09T03:39:10Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Qepo_P29nzgfK3814l5AZw&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,SELF_MATCH,dist/es/herramientas/calculadora-nota-oposicion-docente/index.html,770dc3a9e9de92217023a796a720e3c61ed315a7297b436237e10c61b63ef9f6,331c007477b432e08f8f9f8f407941a335051ddb1d7da771590385095a6fa99b,1561,8862,Calculadora nota oposición docente | Ponderaciones - FunnyTools,Calculadora de nota para oposición o selección docente,"Simula nota de oposición o selección docente con prueba escrita, didáctica y tercer componente. Pesos editables, desglose y límites.",2026-07-28,161,1,Usar la herramienta Prueba escrita Prueba escrita Peso de la prueba escrita Prueba o exposición didáctica Prueba o exposición didáctica Peso de la prueba didáctica Entrevista u otr,2026-09-13T08:24:33.007Z
before,before,2026-09-13T09:47:40.585Z,P2B-09,control,es,time,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-18T14:51:32Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ZZ05NergaB7AjH5QUIbIUQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,SELF_MATCH,dist/es/herramientas/calcular-diferencia-entre-fechas/index.html,be262b2adcfdd5d8197ce8228c7ba143b199390934800fee4c2a75ca088c6117,370201a5c795425a3a525dae0a62b80d163c3a6bf95a792c8d9bb842f07a3576,2153,11210,Diferencia entre fechas | Calculadora de días - FunnyTools,Calcular diferencia entre fechas,"Calcula la diferencia entre dos fechas en días, semanas, meses, años-meses-días, laborables y fines de semana. Incluye la fecha final si lo necesitas.",2026-07-29,163,1,"Usar la herramienta Fecha inicial Fecha final Incluir la fecha final Calcular Copiar resultado Días totales 0 Semanas 0 Meses 0 Años, meses y días 0 Lunes a viernes 0 Fines de sema",2026-09-13T08:24:58.196Z
before,before,2026-09-13T09:47:40.590Z,P2B-10,control,es,money,https://funnytools.win/es/herramientas/calculadora-inflacion/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-20T17:34:39Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=eNmXfpMMYxlU-VRnnTME7g&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-inflacion/,https://funnytools.win/es/herramientas/calculadora-inflacion/,SELF_MATCH,dist/es/herramientas/calculadora-inflacion/index.html,32c1e17da570fec080608e808174710fd550a6cd374c297dac22e11e56bdbe95,6bce658befede6635a4a0c1ca81d458494271731f062e723bf1b3eae37c8c56a,1915,10163,Calculadora de inflación y poder adquisitivo - FunnyTools,Calculadora de inflación y poder adquisitivo,"Calcula coste futuro, poder adquisitivo o equivalente actual con importe, inflación anual y años. Fórmula visible, ejemplos y límites frente al IPC oficial.",2026-09-04,163,1,Usar la herramienta Importe Inflación anual supuesta (%) Años enteros Pregunta que quieres responder Coste futuro desde hoy Poder adquisitivo futuro en dinero de hoy Equivalente ac,2026-09-13T08:24:19.618Z
