pair_id,treatment_url,control_url,locale,cluster,treatment_tool_slug,control_tool_slug,treatment_google_status,control_google_status,treatment_last_crawl_time,control_last_crawl_time,treatment_last_crawl_age_days,control_last_crawl_age_days,treatment_internal_link_count,control_internal_link_count,treatment_crawl_depth,control_crawl_depth,treatment_impression_bucket,control_impression_bucket,treatment_search_28_impressions,control_search_28_impressions,match_score,match_reason
P2B-01,https://funnytools.win/en/tools/cad-2d/,https://funnytools.win/en/tools/flowchart/,en,draw,cad-2d,flowchart,Crawled Not Indexed,Crawled Not Indexed,2026-08-23T05:32:30Z,2026-08-17T18:52:21Z,21,26,44,42,1,1,10+,1-10,59,1,96,same locale en; same page_type tool; same cluster draw; crawl age delta 5d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 10+/1-10 (4/8); similarity similarity-not-recorded (5/5); utility family draw/draw (7/7)
P2B-02,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/normalized-score-converter/,en,statistics,class-rank-percentile-calculator,normalized-score-converter,Crawled Not Indexed,Crawled Not Indexed,2026-08-17T03:08:52Z,2026-08-16T14:05:36Z,27,27,42,41,1,1,1-10,1-10,1,1,100,same locale en; same page_type tool; same cluster statistics; crawl age delta 0d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/1-10 (8/8); similarity low-similarity-0.626 (5/5); utility family calculator/calculator (7/7)
P2B-03,https://funnytools.win/en/tools/compound-interest/,https://funnytools.win/en/tools/net-salary/,en,money,compound-interest,net-salary,Crawled Not Indexed,Crawled Not Indexed,2026-08-17T16:28:57Z,2026-08-17T07:34:16Z,26,27,42,42,1,1,1-10,1-10,1,1,100,same locale en; same page_type tool; same cluster money; crawl age delta 1d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 1-10/1-10 (8/8); similarity similarity-not-recorded (5/5); utility family calculator/calculator (7/7)
P2B-04,https://funnytools.win/en/tools/cronbach-alpha-calculator/,https://funnytools.win/en/tools/grade-average/,en,statistics,cronbach-alpha-calculator,grade-average,Crawled Not Indexed,Crawled Not Indexed,2026-08-02T13:44:13Z,2026-08-04T18:35:57Z,41,39,41,43,1,1,1-10,1-10,1,1,100,same locale en; same page_type tool; same cluster statistics; crawl age delta 2d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 1-10/1-10 (8/8); similarity similarity-not-recorded (5/5); utility family calculator/calculator (7/7)
P2B-05,https://funnytools.win/en/tools/percentage-calculator/,https://funnytools.win/en/tools/percentile-rank-calculator/,en,statistics,percentage-calculator,percentile-rank-calculator,Crawled Not Indexed,Crawled Not Indexed,2026-08-10T03:14:36Z,2026-08-09T16:58:09Z,34,34,43,44,1,1,1-10,1-10,1,1,100,same locale en; same page_type tool; same cluster statistics; crawl age delta 0d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/1-10 (8/8); similarity low-similarity-0.599 (5/5); utility family calculator/calculator (7/7)
P2B-06,https://funnytools.win/es/herramientas/tirar-dados-online/,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,es,random,dice-roller,this-or-that,Crawled Not Indexed,Crawled Not Indexed,2026-08-09T04:31:05Z,2026-08-10T15:40:43Z,35,33,163,163,1,1,1-10,0,1,,91,same locale es; same page_type tool; same cluster random; crawl age delta 2d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity high-risk-marker (0/5); utility family random/random (7/7)
P2B-07,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,es,statistics,cronbach-alpha-calculator,weighted-average-calculator,Crawled Not Indexed,Crawled Not Indexed,2026-08-19T00:59:18Z,2026-08-24T23:49:35Z,25,19,161,163,1,1,0,0,,,100,same locale es; same page_type tool; same cluster statistics; crawl age delta 6d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity similarity-not-recorded (5/5); utility family calculator/calculator (7/7)
P2B-08,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,es,statistics,standard-deviation,teacher-exam-score-converter,Crawled Not Indexed,Crawled Not Indexed,2026-08-08T13:19:57Z,2026-08-09T03:39:10Z,35,35,163,161,1,1,0,0,,,100,same locale es; same page_type tool; same cluster statistics; crawl age delta 0d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity similarity-not-recorded (5/5); utility family calculator/calculator (7/7)
P2B-09,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,es,time,business-days,date-difference,Crawled Not Indexed,Crawled Not Indexed,2026-08-19T18:06:28Z,2026-08-18T14:51:32Z,24,25,163,163,1,1,0,0,,,95,same locale es; same page_type tool; same cluster time; crawl age delta 1d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family time/time (7/7)
P2B-10,https://funnytools.win/es/herramientas/calculadora-hipoteca/,https://funnytools.win/es/herramientas/calculadora-inflacion/,es,money,mortgage-payment,inflation,Crawled Not Indexed,Crawled Not Indexed,2026-08-23T01:14:06Z,2026-08-20T17:34:39Z,21,23,163,163,1,1,0,0,,,100,same locale es; same page_type tool; same cluster money; crawl age delta 2d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity similarity-not-recorded (5/5); utility family calculator/calculator (7/7)
P2B-11,https://funnytools.win/fr/outils/calcul-moyenne-notes/,https://funnytools.win/fr/outils/calculateur-ecart-type/,fr,statistics,grade-average,standard-deviation,Crawled Not Indexed,Crawled Not Indexed,2026-08-08T07:10:58Z,2026-08-06T02:39:08Z,36,38,29,29,1,1,0,0,,,95,same locale fr; same page_type tool; same cluster statistics; crawl age delta 2d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
P2B-12,https://funnytools.win/fr/outils/calculateur-inflation-pouvoir-achat/,https://funnytools.win/fr/outils/calculateur-mensualite-pret-immobilier/,fr,money,inflation,mortgage-payment,Crawled Not Indexed,Crawled Not Indexed,2026-08-21T15:13:18Z,2026-08-19T17:04:43Z,22,24,29,29,1,1,0,0,,,100,same locale fr; same page_type tool; same cluster money; crawl age delta 2d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity similarity-not-recorded (5/5); utility family calculator/calculator (7/7)
P2B-13,https://funnytools.win/fr/outils/calculateur-jours-ouvres/,https://funnytools.win/fr/outils/rappel-pause-ecran/,fr,time,business-days,break-reminder,Crawled Not Indexed,Crawled Not Indexed,2026-08-01T05:08:42Z,2026-08-03T02:43:13Z,43,41,29,29,1,1,0,0,,,95,same locale fr; same page_type tool; same cluster time; crawl age delta 2d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family time/time (7/7)
P2B-14,https://funnytools.win/fr/outils/calculateur-moyenne-ponderee/,https://funnytools.win/fr/outils/calculateur-score-t/,fr,statistics,weighted-average-calculator,t-score-calculator,Crawled Not Indexed,Crawled Not Indexed,2026-08-24T06:24:53Z,2026-09-04T13:48:14Z,20,8,29,29,1,1,0,0,,,90,same locale fr; same page_type tool; same cluster statistics; crawl age delta 12d (10/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
P2B-15,https://funnytools.win/fr/outils/calculer-difference-entre-dates/,https://funnytools.win/fr/outils/convertir-timestamp-unix/,fr,time,date-difference,timestamp-converter,Crawled Not Indexed,Crawled Not Indexed,2026-08-19T16:16:16Z,2026-08-21T16:45:24Z,24,22,29,29,1,1,0,0,,,100,same locale fr; same page_type tool; same cluster time; crawl age delta 2d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity similarity-not-recorded (5/5); utility family time/time (7/7)
P2B-16,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/cad-2d/,zh-TW,draw,bar-chart-maker,cad-2d,Crawled Not Indexed,Crawled Not Indexed,2026-08-13T18:43:24Z,2026-08-10T02:39:59Z,30,34,51,50,1,1,1-10,0,1,,96,same locale zh-TW; same page_type tool; same cluster draw; crawl age delta 4d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.686 (5/5); utility family draw/draw (7/7)
P2B-17,https://funnytools.win/tools/base64/,https://funnytools.win/tools/case-converter/,zh-TW,text,base64,case-converter,Crawled Not Indexed,Crawled Not Indexed,2026-08-21T15:50:49Z,2026-08-21T06:05:47Z,22,23,49,53,1,1,1-10,0,1,,96,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 1d (15/15); internal links delta 4 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.626 (5/5); utility family text/text (7/7)
P2B-18,https://funnytools.win/tools/cronbach-alpha-calculator/,https://funnytools.win/tools/class-rank-percentile-calculator/,zh-TW,statistics,cronbach-alpha-calculator,class-rank-percentile-calculator,Crawled Not Indexed,Crawled Not Indexed,2026-08-18T22:35:45Z,2026-08-19T01:54:04Z,25,25,47,48,1,1,1-10,0,1,,96,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 0d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.677 (5/5); utility family calculator/calculator (7/7)
P2B-19,https://funnytools.win/tools/seating-chart/,https://funnytools.win/tools/gpa-calculator/,zh-TW,study,seating-chart,gpa-calculator,Crawled Not Indexed,Crawled Not Indexed,2026-08-18T23:10:18Z,2026-08-13T19:33:45Z,25,30,52,51,1,1,1-10,0,1,,91,same locale zh-TW; same page_type tool; same cluster study; crawl age delta 5d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity similarity-not-recorded (5/5); utility family draw/calculator (2/7)
P2B-20,https://funnytools.win/tools/countdown-timer/,https://funnytools.win/tools/break-reminder/,zh-TW,time,countdown-timer,break-reminder,Crawled Not Indexed,Crawled Not Indexed,2026-08-14T02:47:43Z,2026-08-18T01:16:28Z,30,26,53,48,1,1,1-10,0,1,,96,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 4d (15/15); internal links delta 5 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.654 (5/5); utility family time/time (7/7)
