locale,treatment_url,control_url,cluster,score,qualifies,reason
zh-TW,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/break-reminder/,time,90,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 13d (10/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.671 (5/5); utility family calculator/time (2/7)
zh-TW,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/business-days/,time,80,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 16d (5/15); internal links delta 4 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/time (2/7)
zh-TW,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/countdown-timer/,time,86,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 9d (10/15); internal links delta 5 (12/12); crawl depth matched; impression bucket 0/1-10 (4/8); similarity low-similarity-0.671 (5/5); utility family calculator/time (2/7)
zh-TW,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/date-difference/,time,85,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 9d (10/15); internal links delta 3 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/time (2/7)
zh-TW,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/pomodoro-timer/,time,90,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 12d (10/15); internal links delta 3 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.671 (5/5); utility family calculator/time (2/7)
zh-TW,https://funnytools.win/tools/age-calculator/,https://funnytools.win/tools/timestamp-converter/,time,95,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 2d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.671 (5/5); utility family calculator/time (2/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/class-rank-percentile-calculator/,statistics,95,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 14d (10/15); internal links delta 3 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.669 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/cronbach-alpha-calculator/,statistics,91,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 14d (10/15); internal links delta 4 (12/12); crawl depth matched; impression bucket 0/1-10 (4/8); similarity low-similarity-0.677 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/grade-average/,statistics,80,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 31d (0/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/independent-samples-t-test-calculator/,statistics,90,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 16d (5/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.658 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/normalized-score-converter/,statistics,95,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 11d (10/15); internal links delta 5 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.774 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/percentage-calculator/,statistics,100,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 1d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.697 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/percentile-rank-calculator/,statistics,100,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 7d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.669 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/spss-result-interpreter/,statistics,95,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 14d (10/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.609 (5/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/standard-deviation/,statistics,85,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 16d (5/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/t-score-calculator/,statistics,90,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 12d (10/15); internal links delta 4 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/teacher-exam-score-converter/,statistics,85,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 18d (5/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/weighted-average-calculator/,statistics,85,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 17d (5/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/z-score-calculator/,statistics,80,yes,same locale zh-TW; same page_type tool; same cluster statistics; crawl age delta 30d (0/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity high-risk-marker (0/5); utility family calculator/calculator (7/7)
zh-TW,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/cad-2d/,draw,96,yes,same locale zh-TW; same page_type tool; same cluster draw; crawl age delta 4d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.686 (5/5); utility family draw/draw (7/7)
zh-TW,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/flowchart/,draw,96,yes,same locale zh-TW; same page_type tool; same cluster draw; crawl age delta 3d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.686 (5/5); utility family draw/draw (7/7)
zh-TW,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/pie-chart-maker/,draw,96,yes,same locale zh-TW; same page_type tool; same cluster draw; crawl age delta 6d (15/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.686 (5/5); utility family draw/draw (7/7)
zh-TW,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/sketchpad/,draw,96,yes,same locale zh-TW; same page_type tool; same cluster draw; crawl age delta 6d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.686 (5/5); utility family draw/draw (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/case-converter/,text,96,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 1d (15/15); internal links delta 4 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.626 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/csv-to-json/,text,91,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 3d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity high-risk-marker (0/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/json-formatter/,text,91,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 9d (10/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.700 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/json-to-csv/,text,91,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 0d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity high-risk-marker (0/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/markdown-previewer/,text,96,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 3d (15/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.610 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/remove-duplicate-lines/,text,91,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 8d (10/15); internal links delta 1 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.695 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/remove-empty-lines/,text,96,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 1d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.695 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/sort-lines/,text,91,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 9d (10/15); internal links delta 3 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.654 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/base64/,https://funnytools.win/tools/url-encoder/,text,96,yes,same locale zh-TW; same page_type tool; same cluster text; crawl age delta 0d (15/15); internal links delta 2 (12/12); crawl depth matched; impression bucket 1-10/0 (4/8); similarity low-similarity-0.610 (5/5); utility family text/text (7/7)
zh-TW,https://funnytools.win/tools/break-reminder/,https://funnytools.win/tools/age-calculator/,time,90,yes,same locale zh-TW; same page_type tool; same cluster time; crawl age delta 13d (10/15); internal links delta 0 (12/12); crawl depth matched; impression bucket 0/0 (8/8); similarity low-similarity-0.671 (5/5); utility family time/calculator (2/7)
