snapshot_stage,snapshot_label,snapshot_at,pair_id,cohort,locale,cluster,url,google_status,google_known,google_crawled,google_indexed,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,inspection_result_link,google_canonical,user_canonical,canonical_category,rendered_path,main_content_hash,main_unique_content_hash,word_count,token_count,title,h1,description,sitemap_lastmod,internal_link_count,crawl_depth,main_content_excerpt
before,before,2026-09-13T09:47:40.550Z,P2B-01,treatment,en,draw,https://funnytools.win/en/tools/cad-2d/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-23T05:32:30Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Vz1nV-GI5eFmTcKVZuMKsA&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/cad-2d/,https://funnytools.win/en/tools/cad-2d/,SELF_MATCH,dist/en/tools/cad-2d/index.html,7f28cd6dacd5e36d98eb7da8a55b092f02af4b595ee48bb462f463b7fa8e1b60,55f3d233425cb7b74b5b964d1f9b8b546e3f45a79b2f42d96d556c6a33895bc7,1236,6166,Free Online 2D CAD Drawing Board｜PNG &amp; SVG - FunnyTools,2D CAD Drawing Board,"Create simple 2D CAD drawings online with… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,44,1,Tool area Select/Move Line Rectangle Circle Polyline Connect endpoints Snap to grid Endpoint snap Ortho Undo Redo Delete selected Clear all Finish polyline Export PNG Export SVG Ti
before,before,2026-09-13T09:47:40.554Z,P2B-01,control,en,draw,https://funnytools.win/en/tools/flowchart/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T18:52:21Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=aKpqKatof3NUkZ9aNmeGNg&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/flowchart/,https://funnytools.win/en/tools/flowchart/,SELF_MATCH,dist/en/tools/flowchart/index.html,172844c2e2235057cc9329c0b16d13f297a9a249cda9aefdf8b943c25049d853,a4e447d2ba23bb350fe82907d8d026ccc90e97241d255047b1e24fb66e31173e,1033,5112,Flowchart Maker｜Online Diagram with PNG Export - FunnyTools,Flowchart Maker,"Create simple flowcharts online with… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Select/Move Connect Edit text Add process Add decision Delete selected Clear all Export PNG Nothing selected Optional product discovery You may also like FunnyTools keeps
before,before,2026-09-13T09:47:40.556Z,P2B-02,treatment,en,statistics,https://funnytools.win/en/tools/class-rank-percentile-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T03:08:52Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=1U_URat-oJS9biC8cEf4Ew&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/class-rank-percentile-calculator/,SELF_MATCH,dist/en/tools/class-rank-percentile-calculator/index.html,76941d9f9302eb4872e0f11c1013d0d5c2e3e16b190d2a5d8f7ddbd5fcdb85db,a1ba4d21c1715da4dbe5e53d5203ccd1e1095409eaeaded78138581980b94812,1086,5357,Class Rank Calculator｜Rank to Percentile - FunnyTools,Class Rank Percentile Calculator,"Convert class rank and class size to an… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-10,42,1,Tool area Rank (r) Class size (N) Calculate rank percentile Work backward from a target Target top percentage Find highest qualifying rank Optional product discovery You may also l
before,before,2026-09-13T09:47:40.559Z,P2B-02,control,en,statistics,https://funnytools.win/en/tools/normalized-score-converter/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-16T14:05:36Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=R-Ldy73nABRl_8GixWG4nw&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/normalized-score-converter/,https://funnytools.win/en/tools/normalized-score-converter/,SELF_MATCH,dist/en/tools/normalized-score-converter/index.html,98653fad8481403b7515ada7c6b4ef038fd78292ffe9fe23df05cdd932cf9777,a9c8bde0529d0d498f2cc62cf78a6436950751ee5317ff703930601c2b7501a1,974,4934,Normalized Score Converter｜Standard Score Tool - FunnyTools,Normalized Score Converter,"Convert a raw score to a target mean and… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,41,1,Tool area Raw score (X) Original mean (M) Original SD Target mean Target SD Convert score Optional product discovery You may also like FunnyTools keeps its tools free to use. If yo
before,before,2026-09-13T09:47:40.561Z,P2B-03,treatment,en,money,https://funnytools.win/en/tools/compound-interest/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T16:28:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=noHdIHtT8qnThQqq6OZcDQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/compound-interest/,https://funnytools.win/en/tools/compound-interest/,SELF_MATCH,dist/en/tools/compound-interest/index.html,d10d103c9c5eba728615718a18b33d160a5e0970d63972db77f592c90d3fae7e,acf6e994b45e88067417ee2d5332352cb5dd4f80837165fd71b03dc04c7fe5bc,990,5608,Compound Interest Calc｜Future Value Estimator - FunnyTools,Compound Interest Calculator,"Estimate future value, total contributed… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Initial principal Monthly contribution Annual rate (%) Years Compounding Monthly Quarterly Yearly Daily Calculate Copy result Future value - Total contributed - Interest
before,before,2026-09-13T09:47:40.562Z,P2B-03,control,en,money,https://funnytools.win/en/tools/net-salary/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T07:34:16Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=zffpwvLdZxSrcCjnss0mBQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/net-salary/,https://funnytools.win/en/tools/net-salary/,SELF_MATCH,dist/en/tools/net-salary/index.html,e160899d33d60b2e98861117cd4619e3c70955e6bdcfb3ac646f81c89974b79c,0378288c49f5152a2e6da410be406073c6ee42d06a236e02a6791be1b37f8bdf,1129,6158,Net Salary Calculator｜Take-Home Pay Estimate - FunnyTools,Net Salary,"Estimate monthly take-home pay with user-ed… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Monthly salary Fixed allowance Other fixed deduction Labor insurance rate (%) Health insurance rate (%) Voluntary pension (self-paid) rate (%) Withholding tax rate (%) Ca
before,before,2026-09-13T09:47:40.564Z,P2B-04,treatment,en,statistics,https://funnytools.win/en/tools/cronbach-alpha-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-02T13:44:13Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=GzWLFTcdsiLDQDRwx4q84Q&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/cronbach-alpha-calculator/,https://funnytools.win/en/tools/cronbach-alpha-calculator/,SELF_MATCH,dist/en/tools/cronbach-alpha-calculator/index.html,581bc724fe6a34c5bd2438f9140c9b0bc48ab8eea4179fecdfa271b1e1dda961,93cf90c72721e0164214c875f068a0dfbeab51323b81d3a69dc69bdf42bd232a,901,4903,Cronbach Alpha Calculator｜Scale Reliability - FunnyTools,Cronbach Alpha Calculator,"Estimate Cronbach alpha from respondent-by-… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,41,1,"Tool area Responses (one person per row, one item per column) 4,3,4,5 3,3,4,4 5,4,5,5 2,3,2,3 4,4,3,4 Calculate Cronbach’s α Optional product discovery You may also like FunnyTools"
before,before,2026-09-13T09:47:40.566Z,P2B-04,control,en,statistics,https://funnytools.win/en/tools/grade-average/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-04T18:35:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=kn5h7Uqudl74Q7X8e-k2Yg&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/grade-average/,https://funnytools.win/en/tools/grade-average/,SELF_MATCH,dist/en/tools/grade-average/index.html,6541db9b26af797c342e80fb5efd04e6c0d4cc3f54bd98b32db0b01eacddddbe,23884e09c04a6ac4e85b8be84775c67f7797c1d6da874ec497825a7acd90bb99,1145,5950,Grade Average Calculator｜Simple &amp; Weighted Grades - FunnyTools,Grade Average Calculator,"Calculate your average grade from scores… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-10,43,1,Tool area Add row Copy result Export CSV Valid items 0 Sum 0.00 Simple average -- Weighted average -- Enter at least one valid score. Copied! Plan the remaining grade Average on co
before,before,2026-09-13T09:47:40.568Z,P2B-05,treatment,en,statistics,https://funnytools.win/en/tools/percentage-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-10T03:14:36Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=5zd59CSdnRx8VFUGdiiOSQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/percentage-calculator/,https://funnytools.win/en/tools/percentage-calculator/,SELF_MATCH,dist/en/tools/percentage-calculator/index.html,1edfcdc0b7e47069280330e39d19d6e5f60cbb61330b6aa6260647ae93fcfb71,20f1d12c473541c8d5d08abf50341d6432798708ab592e785c76284990d828e7,945,4862,"Percentage Calculator｜Discounts, Ratios &amp; Change - FunnyTools",Percentage Calculator,"Free percentage calculator: find a percenta… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,43,1,Tool area Percentage of a number What is X% of Y Percent (%) Value (Y) Result -- Ratio as percentage X is what percent of Y Part (X) Whole (Y) Result -- Percentage change Change fr
before,before,2026-09-13T09:47:40.570Z,P2B-05,control,en,statistics,https://funnytools.win/en/tools/percentile-rank-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-09T16:58:09Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=CGfvG2D97UNFkfw_v2CbpQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/percentile-rank-calculator/,https://funnytools.win/en/tools/percentile-rank-calculator/,SELF_MATCH,dist/en/tools/percentile-rank-calculator/index.html,cb54984dd71e09e07030da7a109d96ca2002c38b8ce3ff6d805ec7c0a7ed0ace,b8c5afec40ad70acd07bbfdb8a0234be4606e1e7feeda52561c7297db329288c,1040,5399,Percentile Rank Calc｜Formula &amp; Education Guide - FunnyTools,Percentile Rank Calculator,"Calculate percentile rank using counts… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,44,1,Tool area Number below (B) Number tied (E) Total group size (N) Calculate PR Optional product discovery You may also like FunnyTools keeps its tools free to use. If you are already
