snapshot_stage,snapshot_label,snapshot_at,pair_id,cohort,locale,cluster,url,google_status,google_known,google_crawled,google_indexed,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,inspection_result_link,google_canonical,user_canonical,canonical_category,rendered_path,main_content_hash,main_unique_content_hash,word_count,token_count,title,h1,description,sitemap_lastmod,internal_link_count,crawl_depth,main_content_excerpt,gsc_inspected_at
after,after-edit,2026-09-13T09:59:15.534Z,P2B-01,treatment,en,draw,https://funnytools.win/en/tools/cad-2d/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-23T05:32:30Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Vz1nV-GI5eFmTcKVZuMKsA&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/cad-2d/,https://funnytools.win/en/tools/cad-2d/,SELF_MATCH,dist/en/tools/cad-2d/index.html,cc15caf0d65342fcd83437dc775b42ad864d650c64066f8ac5391fd37e8379b2,93ee2ad25fbf8450f0cc739e44befb374bf31b8de2acff720bdfeda20e1cba75,1480,7345,Free Online 2D CAD Drawing Board｜PNG &amp; SVG - FunnyTools,2D CAD Drawing Board,"Create simple 2D CAD drawings online with… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,44,1,Tool area Select/Move Line Rectangle Circle Polyline Connect endpoints Snap to grid Endpoint snap Ortho Undo Redo Delete selected Clear all Finish polyline Export PNG Export SVG Ti,2026-09-13T08:18:33.237Z
after,after-edit,2026-09-13T09:59:15.542Z,P2B-02,treatment,en,statistics,https://funnytools.win/en/tools/class-rank-percentile-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T03:08:52Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=1U_URat-oJS9biC8cEf4Ew&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/class-rank-percentile-calculator/,SELF_MATCH,dist/en/tools/class-rank-percentile-calculator/index.html,92308f292fa0f2c143b9d7fcc715a5b245aeee99378be8862fd5b8c4d8d8f8e1,902045ad7ff976343373e1e9e8c8aa2c272e5be06d80cd0b1aaa47c6d64f8bf6,1312,6497,Class Rank Calculator｜Rank to Percentile - FunnyTools,Class Rank Percentile Calculator,"Convert class rank and class size to an… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-10,42,1,Tool area Rank (r) Class size (N) Calculate rank percentile Work backward from a target Target top percentage Find highest qualifying rank Optional product discovery You may also l,2026-09-13T08:18:40.555Z
after,after-edit,2026-09-13T09:59:15.547Z,P2B-03,treatment,en,money,https://funnytools.win/en/tools/compound-interest/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T16:28:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=noHdIHtT8qnThQqq6OZcDQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/compound-interest/,https://funnytools.win/en/tools/compound-interest/,SELF_MATCH,dist/en/tools/compound-interest/index.html,c4ae18c62f901b76b7d2afb1d193d08c312aa4f521d3a837371966f301b8f84a,9dddb5fe6fee02dfd3c60338153aa1b6d775bfbb96d1dcc1cdb73e47d1f92161,1202,6726,Compound Interest Calc｜Future Value Estimator - FunnyTools,Compound Interest Calculator,"Estimate future value, total contributed… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Initial principal Monthly contribution Annual rate (%) Years Compounding Monthly Quarterly Yearly Daily Calculate Copy result Future value - Total contributed - Interest,2026-09-13T08:18:42.839Z
after,after-edit,2026-09-13T09:59:15.551Z,P2B-04,treatment,en,statistics,https://funnytools.win/en/tools/cronbach-alpha-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-02T13:44:13Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=GzWLFTcdsiLDQDRwx4q84Q&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/cronbach-alpha-calculator/,https://funnytools.win/en/tools/cronbach-alpha-calculator/,SELF_MATCH,dist/en/tools/cronbach-alpha-calculator/index.html,906ae3e5e1be56132ff98e04b6b6de4e51a6f0a13cce411888a6572d946fb5a7,bb89e49007023a5b5bf0d53493b7424af807e661dfb8af34f3353cd03b4b9dc5,1106,6031,Cronbach Alpha Calculator｜Scale Reliability - FunnyTools,Cronbach Alpha Calculator,"Estimate Cronbach alpha from respondent-by-… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,41,1,"Tool area Responses (one person per row, one item per column) 4,3,4,5 3,3,4,4 5,4,5,5 2,3,2,3 4,4,3,4 Calculate Cronbach’s α Optional product discovery You may also like FunnyTools",2026-09-13T08:18:48.399Z
after,after-edit,2026-09-13T09:59:15.555Z,P2B-05,treatment,en,statistics,https://funnytools.win/en/tools/percentage-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-10T03:14:36Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=5zd59CSdnRx8VFUGdiiOSQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/percentage-calculator/,https://funnytools.win/en/tools/percentage-calculator/,SELF_MATCH,dist/en/tools/percentage-calculator/index.html,a83f619110b9959b1eebb509210bfc8804e351337c2eb9150eb70ec43dc45dac,e848677a79b9b0a074323fce559e2f4ef589cdc357fe5fedadce2edcd20e4859,1165,5935,"Percentage Calculator｜Discounts, Ratios &amp; Change - FunnyTools",Percentage Calculator,"Free percentage calculator: find a percenta… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,43,1,Tool area Percentage of a number What is X% of Y Percent (%) Value (Y) Result -- Ratio as percentage X is what percent of Y Part (X) Whole (Y) Result -- Percentage change Change fr,2026-09-13T08:20:12.556Z
after,after-edit,2026-09-13T09:59:15.559Z,P2B-06,treatment,es,random,https://funnytools.win/es/herramientas/tirar-dados-online/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-09T04:31:05Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=HN-KhQPgvi8us8X1q3M_gQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/tirar-dados-online/,https://funnytools.win/es/herramientas/tirar-dados-online/,SELF_MATCH,dist/es/herramientas/tirar-dados-online/index.html,8520b2e31cd616dd3978faf99b48fefd674afca6b777fb4c442f0168642b7e05,4d0d1150916fd3ce8acf30c8ee46f12d3a7855950b7c760ed3a265d4898354e3,2199,11118,Tirar dados online | Dado virtual d6 y d20 - FunnyTools,Tirar dados online,"Tira dados online d4, d6, d8, d10, d12 o d20. Lanza hasta 20 dados virtuales, ve cada cara y calcula el total en el navegador.",2026-07-29,163,1,Usar la herramienta Tipo de dado d4 d6 d8 d10 d12 d20 Cantidad de dados Tirar dados Copiar resultado Resultado de la tirada Pulsa para tirar los dados Resultado copiado Qué puedes,2026-09-13T08:27:10.179Z
after,after-edit,2026-09-13T09:59:15.562Z,P2B-07,treatment,es,statistics,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-19T00:59:18Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Bay-G47wIz5sndaIBn-2CQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,SELF_MATCH,dist/es/herramientas/calculadora-alfa-cronbach/index.html,af8d28a711969ce9d4b7846fa1f43033e9b247e79c4114d54eef2385858103b7,8ffb94c7193991e2b28855420451a222d24fc83885b58e6a9502c80ce86b6928,2089,11461,Calculadora de alfa de Cronbach online - FunnyTools,Calculadora de alfa de Cronbach,"Calcula alfa de Cronbach con datos por persona e ítem. Incluye fórmula, formato, ejemplo, interpretación, límites y reporte de fiabilidad.",2026-07-28,161,1,"Usar la herramienta Respuestas: una persona por fila y un ítem por columna 4,3,4,5 3,3,4,4 5,4,5,5 2,3,2,3 4,4,3,4 Calcular alfa de Cronbach Qué puedes hacer aquí Leer una matriz n",2026-09-13T08:23:58.242Z
after,after-edit,2026-09-13T09:59:15.566Z,P2B-08,treatment,es,statistics,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-08T13:19:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=SI9Jmm8zGePStOVv7jar5Q&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,SELF_MATCH,dist/es/herramientas/calculadora-desviacion-estandar/index.html,84c5c88c781fb165bf0764922c44c8df7d3cb225e815fc239fe29299cc052791,35b53536f513d73401127261457ada362aef5a65e0a312308c032765088cc84f,1900,10219,Calculadora de desviación estándar y varianza - FunnyTools,Calculadora de desviación estándar online,"Calcula desviación estándar o típica, varianza, media y mediana para población y muestra. Resultado local, fórmulas, ejemplos y comprobación.",2026-07-29,163,1,"Usar la herramienta Introduce los números Sepáralos con comas, espacios o saltos de línea; usa punto decimal Recuento 0 Suma -- Media -- Mediana -- Moda -- Mínimo -- Máximo -- Rang",2026-09-13T08:24:05.499Z
after,after-edit,2026-09-13T09:59:15.570Z,P2B-09,treatment,es,time,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-19T18:06:28Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=qWi3F_PmLpqnqZgm7_emNg&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,SELF_MATCH,dist/es/herramientas/calculadora-dias-laborables/index.html,79f39f357622b6507056dcafd52efd2ef0668e3c81c94e2c35d2980bb594b1ac,8bd70c4ca58a51ba6f48e8dfdf3716ec7c1b23ae95dc940f2e38fca37e82abb0,2252,12150,Calculadora de días laborables y hábiles - FunnyTools,Calculadora de días laborables,"Calcula días laborables entre dos fechas, excluye fines de semana y resta festivos personalizados. Controla si la fecha final se incluye.",2026-07-29,163,1,"Usar la herramienta Fecha inicial Fecha final Incluir la fecha final Excluir sábados y domingos Cargar calendario de referencia Selecciona una opción… Taiwán 2026, organismos admin",2026-09-13T08:24:11.805Z
after,after-edit,2026-09-13T09:59:15.574Z,P2B-10,treatment,es,money,https://funnytools.win/es/herramientas/calculadora-hipoteca/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-23T01:14:06Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Ri1LiBDXwDIRrEk5-hApiA&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-hipoteca/,https://funnytools.win/es/herramientas/calculadora-hipoteca/,SELF_MATCH,dist/es/herramientas/calculadora-hipoteca/index.html,387a801783540db68f40ae384e6e563c31c5acd3000fa312905e8430d7bd27cb,d85a58f7c31dce6e87ba0e27bb32396eb6f69367d89ea09d16deed2af006d040,2609,13646,Calculadora de hipoteca: cuota mensual e intereses - FunnyTools,Calculadora de hipoteca,"Calcula la cuota mensual de una hipoteca a tipo fijo, pagos totales e intereses. Fórmula, ejemplo y límites de la simulación.",2026-07-29,163,1,Usar la herramienta Capital del préstamo TIN anual (%) Plazo (años enteros) Calcular cuota Copiar resultado Cuota mensual estimada - Total de cuotas - Interés total - Resultado cop,2026-09-13T08:24:18.254Z
