snapshot_stage,snapshot_label,snapshot_at,pair_id,cohort,locale,cluster,url,google_status,google_known,google_crawled,google_indexed,coverage_state,indexing_state,robots_txt_state,page_fetch_state,last_crawl_time,inspection_result_link,google_canonical,user_canonical,canonical_category,rendered_path,main_content_hash,main_unique_content_hash,word_count,token_count,title,h1,description,sitemap_lastmod,internal_link_count,crawl_depth,main_content_excerpt,gsc_inspected_at
before,before,2026-09-13T09:47:40.550Z,P2B-01,treatment,en,draw,https://funnytools.win/en/tools/cad-2d/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-23T05:32:30Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Vz1nV-GI5eFmTcKVZuMKsA&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/cad-2d/,https://funnytools.win/en/tools/cad-2d/,SELF_MATCH,dist/en/tools/cad-2d/index.html,7f28cd6dacd5e36d98eb7da8a55b092f02af4b595ee48bb462f463b7fa8e1b60,55f3d233425cb7b74b5b964d1f9b8b546e3f45a79b2f42d96d556c6a33895bc7,1236,6166,Free Online 2D CAD Drawing Board｜PNG &amp; SVG - FunnyTools,2D CAD Drawing Board,"Create simple 2D CAD drawings online with… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,44,1,Tool area Select/Move Line Rectangle Circle Polyline Connect endpoints Snap to grid Endpoint snap Ortho Undo Redo Delete selected Clear all Finish polyline Export PNG Export SVG Ti,2026-09-13T08:18:33.237Z
before,before,2026-09-13T09:47:40.556Z,P2B-02,treatment,en,statistics,https://funnytools.win/en/tools/class-rank-percentile-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T03:08:52Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=1U_URat-oJS9biC8cEf4Ew&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/class-rank-percentile-calculator/,https://funnytools.win/en/tools/class-rank-percentile-calculator/,SELF_MATCH,dist/en/tools/class-rank-percentile-calculator/index.html,76941d9f9302eb4872e0f11c1013d0d5c2e3e16b190d2a5d8f7ddbd5fcdb85db,a1ba4d21c1715da4dbe5e53d5203ccd1e1095409eaeaded78138581980b94812,1086,5357,Class Rank Calculator｜Rank to Percentile - FunnyTools,Class Rank Percentile Calculator,"Convert class rank and class size to an… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-10,42,1,Tool area Rank (r) Class size (N) Calculate rank percentile Work backward from a target Target top percentage Find highest qualifying rank Optional product discovery You may also l,2026-09-13T08:18:40.555Z
before,before,2026-09-13T09:47:40.561Z,P2B-03,treatment,en,money,https://funnytools.win/en/tools/compound-interest/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-17T16:28:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=noHdIHtT8qnThQqq6OZcDQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/compound-interest/,https://funnytools.win/en/tools/compound-interest/,SELF_MATCH,dist/en/tools/compound-interest/index.html,d10d103c9c5eba728615718a18b33d160a5e0970d63972db77f592c90d3fae7e,acf6e994b45e88067417ee2d5332352cb5dd4f80837165fd71b03dc04c7fe5bc,990,5608,Compound Interest Calc｜Future Value Estimator - FunnyTools,Compound Interest Calculator,"Estimate future value, total contributed… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,42,1,Tool area Initial principal Monthly contribution Annual rate (%) Years Compounding Monthly Quarterly Yearly Daily Calculate Copy result Future value - Total contributed - Interest,2026-09-13T08:18:42.839Z
before,before,2026-09-13T09:47:40.564Z,P2B-04,treatment,en,statistics,https://funnytools.win/en/tools/cronbach-alpha-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-02T13:44:13Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=GzWLFTcdsiLDQDRwx4q84Q&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/cronbach-alpha-calculator/,https://funnytools.win/en/tools/cronbach-alpha-calculator/,SELF_MATCH,dist/en/tools/cronbach-alpha-calculator/index.html,581bc724fe6a34c5bd2438f9140c9b0bc48ab8eea4179fecdfa271b1e1dda961,93cf90c72721e0164214c875f068a0dfbeab51323b81d3a69dc69bdf42bd232a,901,4903,Cronbach Alpha Calculator｜Scale Reliability - FunnyTools,Cronbach Alpha Calculator,"Estimate Cronbach alpha from respondent-by-… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,41,1,"Tool area Responses (one person per row, one item per column) 4,3,4,5 3,3,4,4 5,4,5,5 2,3,2,3 4,4,3,4 Calculate Cronbach’s α Optional product discovery You may also like FunnyTools",2026-09-13T08:18:48.399Z
before,before,2026-09-13T09:47:40.568Z,P2B-05,treatment,en,statistics,https://funnytools.win/en/tools/percentage-calculator/,Crawled Not Indexed,yes,yes,no,Crawled - currently not indexed,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-10T03:14:36Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=5zd59CSdnRx8VFUGdiiOSQ&utm_medium=link&utm_source=api,https://funnytools.win/en/tools/percentage-calculator/,https://funnytools.win/en/tools/percentage-calculator/,SELF_MATCH,dist/en/tools/percentage-calculator/index.html,1edfcdc0b7e47069280330e39d19d6e5f60cbb61330b6aa6260647ae93fcfb71,20f1d12c473541c8d5d08abf50341d6432798708ab592e785c76284990d828e7,945,4862,"Percentage Calculator｜Discounts, Ratios &amp; Change - FunnyTools",Percentage Calculator,"Free percentage calculator: find a percenta… Free, no registration. Inputs and files stay in your browser and are not uploaded to FunnyTools servers.",2026-09-03,43,1,Tool area Percentage of a number What is X% of Y Percent (%) Value (Y) Result -- Ratio as percentage X is what percent of Y Part (X) Whole (Y) Result -- Percentage change Change fr,2026-09-13T08:20:12.556Z
before,before,2026-09-13T09:47:40.573Z,P2B-06,treatment,es,random,https://funnytools.win/es/herramientas/tirar-dados-online/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-09T04:31:05Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=HN-KhQPgvi8us8X1q3M_gQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/tirar-dados-online/,https://funnytools.win/es/herramientas/tirar-dados-online/,SELF_MATCH,dist/es/herramientas/tirar-dados-online/index.html,1b9be89a43bc68cc609e0cf2538458703a359c2cf7656033a2fce05aa0e6c41a,7f5f12dddaf9c2631143b9882e3834987dc8e19d473180929b5beb47c21175a1,1989,10048,Tirar dados online | Dado virtual d6 y d20 - FunnyTools,Tirar dados online,"Tira dados online d4, d6, d8, d10, d12 o d20. Lanza hasta 20 dados virtuales, ve cada cara y calcula el total en el navegador.",2026-07-29,163,1,Usar la herramienta Tipo de dado d4 d6 d8 d10 d12 d20 Cantidad de dados Tirar dados Copiar resultado Resultado de la tirada Pulsa para tirar los dados Resultado copiado Qué puedes,2026-09-13T08:27:10.179Z
before,before,2026-09-13T09:47:40.576Z,P2B-07,treatment,es,statistics,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-19T00:59:18Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Bay-G47wIz5sndaIBn-2CQ&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,SELF_MATCH,dist/es/herramientas/calculadora-alfa-cronbach/index.html,421473f896503da0c40485f9baac341fd295c24894b86edde70b36401385256d,8a5e28b4513d217ce016818b9821abc92a2ab70430643562ef86e5828b929401,1886,10415,Calculadora de alfa de Cronbach online - FunnyTools,Calculadora de alfa de Cronbach,"Calcula alfa de Cronbach con datos por persona e ítem. Incluye fórmula, formato, ejemplo, interpretación, límites y reporte de fiabilidad.",2026-07-28,161,1,"Usar la herramienta Respuestas: una persona por fila y un ítem por columna 4,3,4,5 3,3,4,4 5,4,5,5 2,3,2,3 4,4,3,4 Calcular alfa de Cronbach Qué puedes hacer aquí Leer una matriz n",2026-09-13T08:23:58.242Z
before,before,2026-09-13T09:47:40.579Z,P2B-08,treatment,es,statistics,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-08T13:19:57Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=SI9Jmm8zGePStOVv7jar5Q&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,SELF_MATCH,dist/es/herramientas/calculadora-desviacion-estandar/index.html,c1c29d1ffe4a29f7d3c1d1c777da054482dda023727a14de9b23c105d1558213,5d008eccc25a507208d39b94685ee8a9747a7a13afb6bcd740c27ca1ac988cef,1702,9212,Calculadora de desviación estándar y varianza - FunnyTools,Calculadora de desviación estándar online,"Calcula desviación estándar o típica, varianza, media y mediana para población y muestra. Resultado local, fórmulas, ejemplos y comprobación.",2026-07-29,163,1,"Usar la herramienta Introduce los números Sepáralos con comas, espacios o saltos de línea; usa punto decimal Recuento 0 Suma -- Media -- Mediana -- Moda -- Mínimo -- Máximo -- Rang",2026-09-13T08:24:05.499Z
before,before,2026-09-13T09:47:40.583Z,P2B-09,treatment,es,time,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-19T18:06:28Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=qWi3F_PmLpqnqZgm7_emNg&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,SELF_MATCH,dist/es/herramientas/calculadora-dias-laborables/index.html,cf681fa32a51363a941b361d7fb8284a3f6748783041a4f092b1a74a0c583a86,211f081a42fc2404bd520c82ba27b5f70eb9164042d45cdb3885c1ca54ceb5ae,2046,11132,Calculadora de días laborables y hábiles - FunnyTools,Calculadora de días laborables,"Calcula días laborables entre dos fechas, excluye fines de semana y resta festivos personalizados. Controla si la fecha final se incluye.",2026-07-29,163,1,"Usar la herramienta Fecha inicial Fecha final Incluir la fecha final Excluir sábados y domingos Cargar calendario de referencia Selecciona una opción… Taiwán 2026, organismos admin",2026-09-13T08:24:11.805Z
before,before,2026-09-13T09:47:40.587Z,P2B-10,treatment,es,money,https://funnytools.win/es/herramientas/calculadora-hipoteca/,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,2026-08-23T01:14:06Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Ri1LiBDXwDIRrEk5-hApiA&utm_medium=link&utm_source=api,https://funnytools.win/es/herramientas/calculadora-hipoteca/,https://funnytools.win/es/herramientas/calculadora-hipoteca/,SELF_MATCH,dist/es/herramientas/calculadora-hipoteca/index.html,aaf3c1531db191ed321895816ab2a5ce65b4852552f64751ce60c08e33ed57ca,a784fdbc6fd8ea82511d7c766f2f94368ea1edfd384308ef662239656e669db5,2406,12616,Calculadora de hipoteca: cuota mensual e intereses - FunnyTools,Calculadora de hipoteca,"Calcula la cuota mensual de una hipoteca a tipo fijo, pagos totales e intereses. Fórmula, ejemplo y límites de la simulación.",2026-07-29,163,1,Usar la herramienta Capital del préstamo TIN anual (%) Plazo (años enteros) Calcular cuota Copiar resultado Cuota mensual estimada - Total de cuotas - Interés total - Resultado cop,2026-09-13T08:24:18.254Z
