pair_id,url_a,url_b,page_type_a,page_type_b,locale,primary_intent_a,primary_intent_b,intent_relationship,functional_equivalence,same_outcome,serp_role,differentiated_value,cannibalization_candidate,action,confidence
1,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/png-to-jpg/,tool,tool,zh-TW,jpg-to-png,png-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
2,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/t-score-calculator/,guide,tool,zh-TW,t-score-calculator-guide,t-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
3,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,jpg-to-webp,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
4,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,guide,guide,zh-TW,classroom-random-group-guide,fair-student-grouping-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
5,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/extract-pdf-pages/,tool,tool,zh-TW,delete-pdf-pages,extract-pdf-pages,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
6,https://funnytools.win/tools/png-to-jpg/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,png-to-jpg,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
7,https://funnytools.win/tools/group-generator/,https://funnytools.win/tools/random-group-generator/,tool,tool,zh-TW,group-generator,random-group-generator,DIFFERENT,NO,no,different or adjacent role,different functional category,no,REVIEW_ONLY,LOW
8,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/spss-result-interpreter/,tool,tool,zh-TW,apa-7-report-generator,spss-result-interpreter,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
9,https://funnytools.win/tools/standard-deviation/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,standard-deviation,z-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
10,https://funnytools.win/tools/csv-to-json/,https://funnytools.win/tools/json-to-csv/,tool,tool,zh-TW,csv-to-json,json-to-csv,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
