pair_id,url_a,url_b,page_type_a,page_type_b,locale,cluster_a,cluster_b,tool_slug_a,tool_slug_b,raw_main_similarity,boilerplate_adjusted_similarity,original_same_search_intent,intent_relationship,functional_equivalence,merge_confidence,merge_reason
1,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/png-to-jpg/,tool,tool,zh-TW,image,image,jpg-to-png,png-to-jpg,0.946,0.895,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
2,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/t-score-calculator/,guide,tool,zh-TW,statistics,statistics,,t-score-calculator,0.939,0.911,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
3,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,image,image,jpg-to-webp,webp-to-jpg,0.939,0.898,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
4,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,guide,guide,zh-TW,random,random,,,0.931,0.884,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
5,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/extract-pdf-pages/,tool,tool,zh-TW,pdf,pdf,delete-pdf-pages,extract-pdf-pages,0.931,0.888,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
6,https://funnytools.win/tools/png-to-jpg/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,image,image,png-to-jpg,webp-to-jpg,0.930,0.850,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
7,https://funnytools.win/tools/group-generator/,https://funnytools.win/tools/random-group-generator/,tool,tool,zh-TW,study,random,group-generator,random-group-generator,0.919,0.778,no,DIFFERENT,NO,LOW,different functional category
8,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/spss-result-interpreter/,tool,tool,zh-TW,statistics,statistics,apa-7-report-generator,spss-result-interpreter,0.918,0.609,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
9,https://funnytools.win/tools/standard-deviation/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,statistics,statistics,standard-deviation,z-score-calculator,0.912,0.804,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
10,https://funnytools.win/tools/csv-to-json/,https://funnytools.win/tools/json-to-csv/,tool,tool,zh-TW,text,text,csv-to-json,json-to-csv,0.910,0.827,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
11,https://funnytools.win/tools/teacher-exam-score-converter/,https://funnytools.win/tools/weighted-average-calculator/,tool,tool,zh-TW,statistics,statistics,teacher-exam-score-converter,weighted-average-calculator,0.910,0.823,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
12,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,statistics,statistics,normalized-score-converter,z-score-calculator,0.909,0.774,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
13,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,image,image,jpg-to-png,webp-to-jpg,0.908,0.821,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
14,https://funnytools.win/tools/business-days/,https://funnytools.win/tools/date-difference/,tool,tool,zh-TW,time,time,business-days,date-difference,0.904,0.809,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
15,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/estadisticas-educativas/,category,other,es,statistics,statistics,,,0.901,0.878,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
