case_number,case_type,url_a,url_b,tool_slug_a,tool_slug_b,raw_main_similarity,boilerplate_adjusted_similarity,original_same_search_intent,v2_intent_relationship,functional_equivalence,v2_merge_confidence,decision,why
1,required regression,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/png-to-jpg/,jpg-to-png,png-to-jpg,0.946,0.895,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
2,required regression,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/webp-to-jpg/,jpg-to-webp,webp-to-jpg,0.939,0.898,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
3,required regression,https://funnytools.win/tools/csv-to-json/,https://funnytools.win/tools/json-to-csv/,csv-to-json,json-to-csv,0.910,0.827,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
4,required regression,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/extract-pdf-pages/,delete-pdf-pages,extract-pdf-pages,0.931,0.888,yes,DIFFERENT,NO,LOW,DIFFERENT,document operation outcome differs even when source format overlaps
5,required regression,https://funnytools.win/tools/standard-deviation/,https://funnytools.win/tools/z-score-calculator/,standard-deviation,z-score-calculator,0.912,0.804,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
6,required regression,https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/weighted-average-calculator/,grade-average,weighted-average-calculator,0.895,0.798,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
7,high-similarity calibration sample,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/t-score-calculator/,,t-score-calculator,0.939,0.911,yes,COMPLEMENTARY,NO,LOW,COMPLEMENTARY,tool is DO intent; guide is LEARN intent; keep both by default
8,high-similarity calibration sample,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,,,0.931,0.884,yes,ADJACENT,NO,LOW,ADJACENT,related learning topics; answer role may differ
9,high-similarity calibration sample,https://funnytools.win/tools/png-to-jpg/,https://funnytools.win/tools/webp-to-jpg/,png-to-jpg,webp-to-jpg,0.930,0.850,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
10,high-similarity calibration sample,https://funnytools.win/tools/group-generator/,https://funnytools.win/tools/random-group-generator/,group-generator,random-group-generator,0.919,0.778,no,DIFFERENT,NO,LOW,DIFFERENT,different functional category
11,high-similarity calibration sample,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/spss-result-interpreter/,apa-7-report-generator,spss-result-interpreter,0.918,0.609,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
12,high-similarity calibration sample,https://funnytools.win/tools/teacher-exam-score-converter/,https://funnytools.win/tools/weighted-average-calculator/,teacher-exam-score-converter,weighted-average-calculator,0.910,0.823,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
13,high-similarity calibration sample,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/z-score-calculator/,normalized-score-converter,z-score-calculator,0.909,0.774,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
14,high-similarity calibration sample,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/webp-to-jpg/,jpg-to-png,webp-to-jpg,0.908,0.821,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
15,high-similarity calibration sample,https://funnytools.win/tools/business-days/,https://funnytools.win/tools/date-difference/,business-days,date-difference,0.904,0.809,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
16,high-similarity calibration sample,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/estadisticas-educativas/,,,0.901,0.878,yes,ADJACENT,UNKNOWN,LOW,ADJACENT,topic-adjacent pages with different page roles
17,required regression,https://funnytools.win/en/tools/jpg-to-webp/,https://funnytools.win/en/tools/webp-to-jpg/,jpg-to-webp,webp-to-jpg,0.898,0.839,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
18,high-similarity calibration sample,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/jpg-to-webp/,jpg-to-png,jpg-to-webp,0.898,0.800,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
19,high-similarity calibration sample,https://funnytools.win/fr/,https://funnytools.win/fr/outils/,,,0.894,0.849,yes,ADJACENT,UNKNOWN,LOW,ADJACENT,topic-adjacent pages with different page roles
20,high-similarity calibration sample,https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/sort-lines/,remove-duplicate-lines,sort-lines,0.894,0.654,yes,ADJACENT,NO,LOW,ADJACENT,related topic but functional input/computation/output differs
21,high-similarity calibration sample,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/png-to-jpg/,jpg-to-webp,png-to-jpg,0.892,0.759,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
22,high-similarity calibration sample,https://funnytools.win/category/statistics/,https://funnytools.win/education-statistics/,,,0.891,0.715,yes,ADJACENT,UNKNOWN,LOW,ADJACENT,topic-adjacent pages with different page roles
23,high-similarity calibration sample,https://funnytools.win/for/creators/,https://funnytools.win/workflows/creator-social-toolkit/,,,0.891,0.797,no,UNKNOWN,UNKNOWN,LOW,UNKNOWN,page roles cannot be deterministically compared
24,required regression,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,jpg-to-png,png-to-jpg,0.889,0.881,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
25,high-similarity calibration sample,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,,,0.888,0.875,yes,ADJACENT,UNKNOWN,LOW,ADJACENT,topic-adjacent pages with different page roles
26,required regression,https://funnytools.win/en/tools/delete-pdf-pages/,https://funnytools.win/en/tools/extract-pdf-pages/,delete-pdf-pages,extract-pdf-pages,0.887,0.803,yes,DIFFERENT,NO,LOW,DIFFERENT,document operation outcome differs even when source format overlaps
27,high-similarity calibration sample,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/pdf-page-reorder/,extract-pdf-pages,pdf-page-reorder,0.887,0.709,yes,DIFFERENT,NO,LOW,DIFFERENT,document operation outcome differs even when source format overlaps
28,required regression,https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/png-to-jpg/,jpg-to-png,png-to-jpg,0.885,0.841,yes,DIFFERENT,NO,LOW,DIFFERENT,directional converter inputs/outputs differ
29,high-similarity calibration sample,https://funnytools.win/es/herramientas/,https://funnytools.win/es/,,,0.885,0.884,yes,ADJACENT,UNKNOWN,LOW,ADJACENT,topic-adjacent pages with different page roles
30,high-similarity calibration sample,https://funnytools.win/es/flujos/entrega-informe-estudiantil/,https://funnytools.win/es/para/estudiantes/,,,0.883,0.867,no,UNKNOWN,UNKNOWN,LOW,UNKNOWN,page roles cannot be deterministically compared
