url,locale,tool_slug,page_type,content_cluster,action,source,target,outcome,function,audience,intent_signature,signature_confidence,source_of_truth
https://funnytools.win/en/tools/age-calculator/,en,age-calculator,tool,time,calculate,age,age,calculated-result,age,general,calculate|age|age|calculated-result|age|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/apa-7-report-generator/,en,apa-7-report-generator,tool,statistics,generate,apa-7-report,apa-7-report,generated-result,apa-7-report,general,generate|apa-7-report|apa-7-report|generated-result|apa-7-report|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/bar-chart-maker/,en,bar-chart-maker,tool,draw,create,bar-chart,bar-chart,created-artifact,bar-chart,general,create|bar-chart|bar-chart|created-artifact|bar-chart|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/barcode-generator/,en,barcode-generator,tool,image,generate,barcode,barcode,generated-result,barcode,general,generate|barcode|barcode|generated-result|barcode|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/base64/,en,base64,tool,text,use,base64,base64,tool-result,base64,general,use|base64|base64|tool-result|base64|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/break-reminder/,en,break-reminder,tool,time,use,break-reminder,break-reminder,tool-result,break-reminder,general,use|break-reminder|break-reminder|tool-result|break-reminder|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/bulk-image-compressor/,en,bulk-image-compressor,tool,image,compress,bulk-image-compressor,bulk-image-compressor,smaller-file,bulk-image-compressor,general,compress|bulk-image-compressor|bulk-image-compressor|smaller-file|bulk-image-compressor|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/business-days/,en,business-days,tool,time,use,business-days,business-days,tool-result,business-days,general,use|business-days|business-days|tool-result|business-days|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/cad-2d/,en,cad-2d,tool,draw,use,cad-2d,cad-2d,tool-result,cad-2d,general,use|cad-2d|cad-2d|tool-result|cad-2d|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/case-converter/,en,case-converter,tool,text,use,case-converter,case-converter,tool-result,case-converter,general,use|case-converter|case-converter|tool-result|case-converter|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/character-counter/,en,character-counter,tool,text,count,character-counter,character-counter,count,character-counter,general,count|character-counter|character-counter|count|character-counter|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/class-rank-percentile-calculator/,en,class-rank-percentile-calculator,tool,statistics,calculate,class-rank-percentile,class-rank-percentile,calculated-result,class-rank-percentile,general,calculate|class-rank-percentile|class-rank-percentile|calculated-result|class-rank-percentile|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/color-generator/,en,color-generator,tool,random,generate,color,color,generated-result,color,general,generate|color|color|generated-result|color|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/compound-interest/,en,compound-interest,tool,money,use,compound-interest,compound-interest,tool-result,compound-interest,general,use|compound-interest|compound-interest|tool-result|compound-interest|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/countdown-timer/,en,countdown-timer,tool,time,use,countdown-timer,countdown-timer,tool-result,countdown-timer,general,use|countdown-timer|countdown-timer|tool-result|countdown-timer|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/cronbach-alpha-calculator/,en,cronbach-alpha-calculator,tool,statistics,calculate,cronbach-alpha,cronbach-alpha,calculated-result,cronbach-alpha,general,calculate|cronbach-alpha|cronbach-alpha|calculated-result|cronbach-alpha|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/csv-to-json/,en,csv-to-json,tool,text,convert,csv,json,json-data,data-format-conversion,general,convert|csv|json|json-data|data-format-conversion|general,HIGH,explicit functional rule
https://funnytools.win/en/tools/date-difference/,en,date-difference,tool,time,use,date-difference,date-difference,tool-result,date-difference,general,use|date-difference|date-difference|tool-result|date-difference|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/delete-pdf-pages/,en,delete-pdf-pages,tool,pdf,delete,pdf,pdf,remove-selected-pages,pdf-page-editing,general,delete|pdf|pdf|remove-selected-pages|pdf-page-editing|general,HIGH,explicit functional rule
https://funnytools.win/en/tools/dice-roller/,en,dice-roller,tool,random,generate,dice-roller,dice-roller,generated-result,dice-roller,general,generate|dice-roller|dice-roller|generated-result|dice-roller|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/extract-pdf-pages/,en,extract-pdf-pages,tool,pdf,extract,pdf,pdf,new-document-from-selected-pages,pdf-page-editing,general,extract|pdf|pdf|new-document-from-selected-pages|pdf-page-editing|general,HIGH,explicit functional rule
https://funnytools.win/en/tools/flowchart/,en,flowchart,tool,draw,create,flowchart,flowchart,created-artifact,flowchart,general,create|flowchart|flowchart|created-artifact|flowchart|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/gpa-calculator/,en,gpa-calculator,tool,study,calculate,gpa,gpa,calculated-result,gpa,general,calculate|gpa|gpa|calculated-result|gpa|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/grade-average/,en,grade-average,tool,statistics,calculate,grades,average-grade,grade-average,grade-calculation,general,calculate|grades|average-grade|grade-average|grade-calculation|general,HIGH,explicit functional rule
https://funnytools.win/en/tools/group-generator/,en,group-generator,tool,study,generate,group,group,generated-result,group,general,generate|group|group|generated-result|group|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/image-compressor/,en,image-compressor,tool,image,compress,image-compressor,image-compressor,smaller-file,image-compressor,general,compress|image-compressor|image-compressor|smaller-file|image-compressor|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/image-crop/,en,image-crop,tool,image,transform,image-crop,image-crop,transformed-output,image-crop,general,transform|image-crop|image-crop|transformed-output|image-crop|general,MEDIUM,slug-derived fallback
https://funnytools.win/en/tools/image-resizer/,en,image-resizer,tool,image,transform,image-resizer,image-resizer,transformed-output,image-resizer,general,transform|image-resizer|image-resizer|transformed-output|image-resizer|general,MEDIUM,slug-derived fallback
