URL,page_type,locale,GSC_status,indexable,sitemap,internal_links,raw_similarity_risk,v2_similarity_risk,intent_relationship,value_score,action,merge_confidence,merge_reason,functional_equivalence,merge_target,human_review_required,v1_action
https://funnytools.win/about/,legal,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,313,medium,low,NONE,,IMPROVE,NONE,multi-signal value triage remains below review floor after similarity recalibration,NO,,yes,IMPROVE
https://funnytools.win/about-tools/,legal,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,314,medium,low,NONE,,IMPROVE,NONE,multi-signal value triage remains below review floor after similarity recalibration,NO,,yes,IMPROVE
https://funnytools.win/affiliate-disclosure/,legal,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,497,medium,low,NONE,,KEEP,NONE,functional intent calibration found no high-confidence SAME outcome,NO,,no,KEEP
https://funnytools.win/category/draw/,category,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,24,medium,low,NONE,,KEEP,NONE,functional intent calibration found no high-confidence SAME outcome,NO,,no,KEEP
https://funnytools.win/category/image/,category,zh-TW,Not indexed,yes,sitemap-guides.xml,34,high,low,NONE,,IMPROVE,NONE,multi-signal value triage remains below review floor after similarity recalibration,NO,,yes,IMPROVE
https://funnytools.win/category/money/,category,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,15,medium,low,NONE,,KEEP,NONE,functional intent calibration found no high-confidence SAME outcome,NO,,no,KEEP
https://funnytools.win/category/pdf/,category,zh-TW,Not indexed,yes,sitemap-guides.xml,34,medium,low,NONE,,KEEP,NONE,functional intent calibration found no high-confidence SAME outcome,NO,,no,KEEP
https://funnytools.win/category/random/,category,zh-TW,Not indexed,yes,sitemap-guides.xml,32,high,low,NONE,,IMPROVE,NONE,multi-signal value triage remains below review floor after similarity recalibration,NO,,yes,IMPROVE
https://funnytools.win/category/statistics/,category,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,24,high,low,NONE,,IMPROVE,NONE,multi-signal value triage remains below review floor after similarity recalibration,NO,,yes,IMPROVE
https://funnytools.win/category/study/,category,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,17,high,low,NONE,,IMPROVE,NONE,multi-signal value triage remains below review floor after similarity recalibration,NO,,yes,IMPROVE
