cluster,url,primary_intent,competing_urls,unique_value,action,confidence
creators,https://funnytools.win/en/for/creators/,"Free Creator Tools: Text, Images, QR Codes - FunnyTools",https://funnytools.win/en/for/designers/ (0.644),requires human comparison of answer intent,REVIEW_ONLY,medium
designers,https://funnytools.win/en/for/designers/,"Free Designer Tools: Images, Color, QR Codes - FunnyTools",https://funnytools.win/en/for/creators/ (0.644),requires human comparison of answer intent,REVIEW_ONLY,medium
statistics,https://funnytools.win/en/guides/anova-apa-format-guide/,ANOVA APA Format Guide with Examples - FunnyTools,https://funnytools.win/en/guides/spss-levene-test-guide/ (0.604),requires human comparison of answer intent,REVIEW_ONLY,medium
statistics,https://funnytools.win/en/guides/spss-levene-test-guide/,SPSS Levene Test Guide for Variance Checks - FunnyTools,https://funnytools.win/en/guides/anova-apa-format-guide/ (0.604),requires human comparison of answer intent,REVIEW_ONLY,medium
statistics,https://funnytools.win/en/guides/anova-apa-format-guide/,ANOVA APA Format Guide with Examples - FunnyTools,https://funnytools.win/en/guides/t-test-apa-format-guide/ (0.581),requires human comparison of answer intent,REVIEW_ONLY,medium
general,https://funnytools.win/en/guides/t-test-apa-format-guide/,T Test APA Format Guide with Examples - FunnyTools,https://funnytools.win/en/guides/anova-apa-format-guide/ (0.581),requires human comparison of answer intent,REVIEW_ONLY,medium
statistics,https://funnytools.win/en/guides/anova-apa-format-guide/,ANOVA APA Format Guide with Examples - FunnyTools,https://funnytools.win/en/guides/two-way-anova-interaction-guide/ (0.662),requires human comparison of answer intent,REVIEW_ONLY,medium
statistics,https://funnytools.win/en/guides/two-way-anova-interaction-guide/,Two Way ANOVA Interaction Guide - FunnyTools,https://funnytools.win/en/guides/anova-apa-format-guide/ (0.662),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-lottery-tool-guide/ (0.565),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-lottery-tool-guide/,Classroom Lottery Tool Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.565),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.672),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.672),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.601),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.601),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.621),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.621),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.652),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.652),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.607),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.607),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.657),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.657),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.694),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.694),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.635),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.635),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/,Classroom Group Roles and Rotation Guide - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.623),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-group-roles-rotation-guide/ (0.623),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-lottery-tool-guide/,Classroom Lottery Tool Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.624),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-lottery-tool-guide/ (0.624),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-lottery-tool-guide/,Classroom Lottery Tool Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.569),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-lottery-tool-guide/ (0.569),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-lottery-tool-guide/,Classroom Lottery Tool Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.570),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-lottery-tool-guide/ (0.570),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-lottery-tool-guide/,Classroom Lottery Tool Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.742),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-lottery-tool-guide/ (0.742),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-lottery-tool-guide/,Classroom Lottery Tool Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-timer-guide/ (0.588),requires human comparison of answer intent,REVIEW_ONLY,medium
time,https://funnytools.win/en/guides/classroom-timer-guide/,Classroom Timer Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-lottery-tool-guide/ (0.588),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.629),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.629),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.674),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.674),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.694),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.694),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.709),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.709),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.753),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.753),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.800),requires human comparison of answer intent,REVIEW_ONLY,high
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.800),requires human comparison of answer intent,REVIEW_ONLY,high
