url_a,url_b,similarity_score,same_cluster,same_locale,same_search_intent,recommended_action
https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/png-to-jpg/,0.946,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/t-score-calculator/,0.939,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/webp-to-jpg/,0.939,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,0.931,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/extract-pdf-pages/,0.931,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/png-to-jpg/,https://funnytools.win/tools/webp-to-jpg/,0.930,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/group-generator/,https://funnytools.win/tools/random-group-generator/,0.919,no,yes,no,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/spss-result-interpreter/,0.918,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/standard-deviation/,https://funnytools.win/tools/z-score-calculator/,0.912,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/csv-to-json/,https://funnytools.win/tools/json-to-csv/,0.910,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/teacher-exam-score-converter/,https://funnytools.win/tools/weighted-average-calculator/,0.910,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/z-score-calculator/,0.909,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/webp-to-jpg/,0.908,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/tools/business-days/,https://funnytools.win/tools/date-difference/,0.904,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/estadisticas-educativas/,0.901,yes,yes,yes,HUMAN_REVIEW_MERGE
https://funnytools.win/en/tools/jpg-to-webp/,https://funnytools.win/en/tools/webp-to-jpg/,0.898,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/jpg-to-webp/,0.898,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/weighted-average-calculator/,0.895,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/fr/,https://funnytools.win/fr/outils/,0.894,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/sort-lines/,0.894,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/png-to-jpg/,0.892,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/category/statistics/,https://funnytools.win/education-statistics/,0.891,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/for/creators/,https://funnytools.win/workflows/creator-social-toolkit/,0.891,no,yes,no,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/convertir-jpg-a-png/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,0.889,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,0.888,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/en/tools/delete-pdf-pages/,https://funnytools.win/en/tools/extract-pdf-pages/,0.887,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/pdf-page-reorder/,0.887,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/png-to-jpg/,0.885,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/,https://funnytools.win/es/,0.885,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/flujos/entrega-informe-estudiantil/,https://funnytools.win/es/para/estudiantes/,0.883,no,yes,no,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/remove-empty-lines/,0.883,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/guides/classroom-random-group-absent-student-repair-guide/,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,0.882,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/t-score-calculator/,https://funnytools.win/tools/z-score-calculator/,0.882,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/jpg-to-webp/,0.881,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-student-picker/,0.881,no,yes,no,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,0.880,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/tools/teacher-exam-score-converter/,0.879,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/remove-empty-lines/,https://funnytools.win/tools/sort-lines/,0.879,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/en/tools/png-to-jpg/,https://funnytools.win/en/tools/webp-to-jpg/,0.878,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/guias/prueba-levene-spss/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,0.877,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/guias/rango-percentil-interpretacion/,https://funnytools.win/es/herramientas/calculadora-rango-percentil/,0.876,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/convertir-png-a-jpg/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,0.875,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/fr/outils/convertir-jpg-en-png/,https://funnytools.win/fr/outils/convertir-png-en-jpg/,0.874,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/split-pdf/,0.874,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/tools/group-generator/,0.873,no,yes,no,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/sobre-funnytools/,0.872,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,0.872,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/for/office-workers/,https://funnytools.win/workflows/office-document-toolkit/,0.872,no,yes,no,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/guides/z-score-calculator-guide/,https://funnytools.win/tools/z-score-calculator/,0.872,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,0.871,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/tools/t-score-calculator/,0.870,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/split-pdf/,0.870,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/spss-result-interpreter/,https://funnytools.win/workflows/graduate-statistics-report-toolkit/,0.870,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/guias/comprimir-fotos-para-email/,0.869,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/fr/outils/generateur-groupes-aleatoires/,https://funnytools.win/fr/outils/generateur-groupes-classe/,0.869,no,yes,no,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/image-resizer/,0.869,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/percentile-rank-calculator/,https://funnytools.win/tools/z-score-calculator/,0.869,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/workflows/graduate-statistics-report-toolkit/,0.868,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/guias/anova-formato-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,0.867,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/guias/puntuacion-t-interpretacion/,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,0.867,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,0.866,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
https://funnytools.win/es/herramientas/convertir-csv-a-json/,https://funnytools.win/es/herramientas/convertir-json-a-csv/,0.866,yes,yes,yes,HUMAN_REVIEW_NEAR_DUPLICATE
