url,gsc_source,evidence_date,gsc_status,gsc_exclusion_reason,last_crawl,discovered_status,sitemap_relation,current_production_status,current_canonical,current_robots,page_type,content_cluster,notes
https://funnytools.win/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Indexed,已提交並建立索引,Last crawled 2026-09-02T00:43:02Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/,UNKNOWN,home,general,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-08T05:55:55Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/,UNKNOWN,hub,general,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/category/random/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-01T03:39:40Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/category/random/,UNKNOWN,category,random,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/category/pdf/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-16T02:42:51Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/category/pdf/,UNKNOWN,category,pdf,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/category/image/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-03T16:39:23Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/category/image/,UNKNOWN,category,image,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/random-number-picker/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-17T05:37:52Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/random-number-picker/,UNKNOWN,tool,random,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/word-counter/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,Google 無法辨識的網址,Google 無法辨識的網址,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/word-counter/,UNKNOWN,tool,text,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/qr-code-generator/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-13T12:43:58Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/qr-code-generator/,UNKNOWN,tool,image,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/merge-pdf/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-13T18:51:52Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/merge-pdf/,UNKNOWN,tool,pdf,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/image-compressor/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,Google 無法辨識的網址,Google 無法辨識的網址,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/image-compressor/,UNKNOWN,tool,image,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/tools/rotate-pdf/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,Google 無法辨識的網址,Google 無法辨識的網址,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/tools/rotate-pdf/,UNKNOWN,tool,pdf,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/en/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Indexed,已提交並建立索引,Last crawled 2026-09-02T00:36:52Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/en/,UNKNOWN,home,general,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/en/tools/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-19T15:44:57Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/en/tools/,UNKNOWN,hub,general,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
https://funnytools.win/en/tools/cad-2d/,"historical URL Inspection report (2026-09-04), not current Coverage URL sample",2026-09-04,Not indexed,已檢索 - 目前尚未建立索引,Last crawled 2026-08-23T05:32:30Z,UNKNOWN,in current sitemap,200 live verified,https://funnytools.win/en/tools/cad-2d/,UNKNOWN,tool,draw,Supplemental stale URL Inspection evidence; do not aggregate as current Coverage URL-level truth
