url,page_type,locale,inbound_links,unique_inbound_pages,crawl_depth,hub_membership,related_tool_links,related_guide_links,related_workflow_links,status
https://funnytools.win/about/,legal,zh-TW,313,313,1,/category/draw/;/category/image/;/category/money/;/category/pdf/;/category/random/;/category/statistics/;/category/study/;/category/text/;/category/time/;/for/;/guides/;/;/methodology/;/tools/;/workflows/,0,0,0,OK
https://funnytools.win/about-tools/,legal,zh-TW,314,314,1,/category/draw/;/category/image/;/category/money/;/category/pdf/;/category/random/;/category/statistics/;/category/study/;/category/text/;/category/time/;/for/;/guides/;/;/methodology/;/tools/;/workflows/,0,0,0,OK
https://funnytools.win/affiliate-disclosure/,legal,zh-TW,497,497,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/;/es/categorias/azar/;/es/categorias/dibujo/;/es/categorias/dinero/;/es/categorias/estadistica/;/es/categorias/estudio/;/es/categorias/imagen/;/es/categorias/pdf/;/es/categorias/texto/;/es/categorias/tiempo/;/es/flujos/;/es/guias/;/es/herramientas/;/es/;/es/para/;/fr/;/fr/outils/,0,0,0,OK
https://funnytools.win/category/draw/,category,zh-TW,24,24,1,/category/image/;/category/pdf/;/en/category/draw/;/es/categorias/dibujo/;/;/tools/,11,0,0,OK
https://funnytools.win/category/image/,category,zh-TW,34,34,1,/category/draw/;/category/pdf/;/category/text/;/en/category/image/;/es/categorias/imagen/;/;/tools/,19,0,4,OK
https://funnytools.win/category/money/,category,zh-TW,15,15,1,/category/statistics/;/category/time/;/en/category/money/;/es/categorias/dinero/;/;/tools/,12,0,0,OK
https://funnytools.win/category/pdf/,category,zh-TW,34,34,1,/category/draw/;/category/image/;/category/text/;/en/category/pdf/;/es/categorias/pdf/;/;/tools/,17,0,2,OK
https://funnytools.win/category/random/,category,zh-TW,32,32,1,/category/study/;/category/text/;/category/time/;/en/category/random/;/es/categorias/azar/;/;/tools/,16,5,4,OK
https://funnytools.win/category/statistics/,category,zh-TW,24,24,1,/category/money/;/category/study/;/en/category/statistics/;/es/categorias/estadistica/;/;/tools/,17,6,4,OK
https://funnytools.win/category/study/,category,zh-TW,17,17,1,/category/money/;/category/random/;/category/statistics/;/category/time/;/en/category/study/;/es/categorias/estudio/;/;/tools/,8,5,3,OK
https://funnytools.win/category/text/,category,zh-TW,36,36,1,/category/draw/;/category/image/;/category/pdf/;/category/random/;/category/statistics/;/en/category/text/;/es/categorias/texto/;/;/tools/,18,13,5,OK
https://funnytools.win/category/time/,category,zh-TW,29,29,1,/category/money/;/category/random/;/category/study/;/en/category/time/;/es/categorias/tiempo/;/;/tools/,14,0,3,OK
https://funnytools.win/contact/,legal,zh-TW,313,313,1,/category/draw/;/category/image/;/category/money/;/category/pdf/;/category/random/;/category/statistics/;/category/study/;/category/text/;/category/time/;/for/;/guides/;/;/methodology/;/tools/;/workflows/,0,0,0,OK
https://funnytools.win/disclaimer/,legal,zh-TW,313,313,1,/category/draw/;/category/image/;/category/money/;/category/pdf/;/category/random/;/category/statistics/;/category/study/;/category/text/;/category/time/;/for/;/guides/;/;/methodology/;/tools/;/workflows/,0,0,0,OK
https://funnytools.win/education-statistics/,other,zh-TW,312,312,1,/category/draw/;/category/image/;/category/money/;/category/pdf/;/category/random/;/category/statistics/;/category/study/;/category/text/;/category/time/;/for/;/guides/;/;/methodology/;/tools/;/workflows/,22,12,11,OK
https://funnytools.win/en/about/,legal,en,193,193,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/,0,0,0,OK
https://funnytools.win/en/about-tools/,legal,en,194,194,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/,0,0,0,OK
https://funnytools.win/en/category/draw/,category,en,13,13,1,/category/draw/;/en/category/image/;/en/category/pdf/;/en/;/en/tools/;/es/categorias/dibujo/,11,0,0,OK
https://funnytools.win/en/category/image/,category,en,23,23,1,/category/image/;/en/category/draw/;/en/category/pdf/;/en/category/text/;/en/;/en/tools/;/es/categorias/imagen/,19,0,3,OK
https://funnytools.win/en/category/money/,category,en,13,13,1,/category/money/;/en/category/statistics/;/en/category/time/;/en/;/en/tools/;/es/categorias/dinero/,12,0,0,OK
https://funnytools.win/en/category/pdf/,category,en,24,24,1,/category/pdf/;/en/category/draw/;/en/category/image/;/en/category/text/;/en/;/en/tools/;/es/categorias/pdf/,17,0,2,OK
https://funnytools.win/en/category/random/,category,en,21,21,1,/category/random/;/en/category/study/;/en/category/text/;/en/category/time/;/en/;/en/tools/;/es/categorias/azar/,16,5,4,OK
