URL,page_type,locale,GSC_status,indexable,sitemap,internal_links,similarity_risk,cannibalization_risk,value_score,action,merge_target,confidence,reason,technical_change_required,human_review_required
https://funnytools.win/404/,404,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/about/,legal,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,313,medium,low/unknown,48,IMPROVE,,review,quality/link/similarity risk requires review,no,yes
https://funnytools.win/about-tools/,legal,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,314,medium,low/unknown,48,IMPROVE,,review,quality/link/similarity risk requires review,no,yes
https://funnytools.win/affiliate-disclosure/,legal,zh-TW,UNKNOWN (no current URL-level Coverage sample),yes,sitemap-guides.xml,497,medium,low/unknown,54,KEEP,,medium,distinct current route with passing technical checks,no,no
https://funnytools.win/blog/ad-block-safe-layout-guide/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/after-midterm-final-score-needed/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/application-pdf-package-guide/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/base64-guide/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/browser-local-tool-privacy-guide/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/calculate-t-score-from-z-score/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/can-pr-and-t-score-convert/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/can-z-score-be-greater-than-3/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/can-z-score-compare-different-exams/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/case-converter-writing-guide/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/class-rank-to-percentile-rank/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
https://funnytools.win/blog/classroom-game-tools-guide/,blog,zh-TW,UNKNOWN (no current URL-level Coverage sample),no,not in sitemap,0,not applicable,low/unknown,,RETIRE,,review,intentional excluded route; preserve current policy,no,no
