tier,rank,url,page_type,locale,value_score,production_status,http_status,canonical_self,indexable,in_sitemap,inbound_links,crawl_depth,title,h1,hreflang_count,structured_data_types,gsc_status,note
Tier 1,1,https://funnytools.win/,home,zh-TW,63,200 live verified,200,yes,yes,yes,526,0,FunnyTools 免費線上工具箱｜PDF、圖片、文字、QR Code 與教育統計工具,FunnyTools 免費線上工具箱,5,WebSite;Organization;ItemList;FAQPage,Indexed,priority candidate; current GSC index outcome not proven
Tier 1,2,https://funnytools.win/en/,home,en,63,200 live verified,200,yes,yes,yes,407,0,"Free Online Tools - PDF, Image, Text & QR | FunnyTools",FunnyTools - Free Online Tools for Everyday Tasks,5,WebSite;Organization;ItemList;FAQPage,Indexed,priority candidate; current GSC index outcome not proven
Tier 1,3,https://funnytools.win/es/,home,es,63,200 live verified,200,yes,yes,yes,216,0,Herramientas online gratis y privadas | FunnyTools en español,FunnyTools en español,5,WebSite;FAQPage;ItemList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,4,https://funnytools.win/fr/,home,fr,63,200 live verified,200,yes,yes,yes,216,0,"Outils en ligne gratuits, pratiques et vérifiables - FunnyTools",Des outils gratuits qui expliquent aussi comment vérifier le résultat,5,WebSite;FAQPage;ItemList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,5,https://funnytools.win/tools/,hub,zh-TW,51,200 live verified,200,yes,yes,yes,314,1,所有免費線上工具｜PDF、圖片、文字、計算工具總覽 - FunnyTools,免費線上工具大全,5,CollectionPage;FAQPage;BreadcrumbList,Not indexed,priority candidate; current GSC index outcome not proven
Tier 1,6,https://funnytools.win/guides/,hub,zh-TW,50,200 live verified,200,yes,yes,yes,312,1,教育統計與教師甄試指南 - FunnyTools,教育統計與教師甄試指南,4,CollectionPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,7,https://funnytools.win/methodology/,hub,zh-TW,50,200 live verified,200,yes,yes,yes,310,1,FunnyTools 工具驗證與內容方法｜公式、測試、本機處理與修正流程,FunnyTools 工具驗證與內容方法,0,BreadcrumbList;WebPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,8,https://funnytools.win/for/,hub,zh-TW,48,200 live verified,200,yes,yes,yes,312,1,依使用情境找 FunnyTools 工具,依使用情境找工具,4,CollectionPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,9,https://funnytools.win/workflows/,hub,zh-TW,48,200 live verified,200,yes,yes,yes,312,1,教育統計工作流程 - FunnyTools,教育統計工作流程,4,CollectionPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,10,https://funnytools.win/en/tools/,hub,en,56,200 live verified,200,yes,yes,yes,194,1,"All Free Tools | PDF, Image, Text & Calculators - FunnyTools",Free Online Tools Collection,5,CollectionPage;FAQPage;BreadcrumbList,Not indexed,priority candidate; current GSC index outcome not proven
Tier 1,11,https://funnytools.win/en/guides/,hub,en,52,200 live verified,200,yes,yes,yes,193,1,Education Statistics and Teacher Exam Guides - FunnyTools,Education Statistics and Teacher Exam Guides,4,CollectionPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,12,https://funnytools.win/en/for/,hub,en,51,200 live verified,200,yes,yes,yes,193,1,Find FunnyTools by Audience,Find Tools by Audience,4,CollectionPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
